REFERENCIA;EAN;LAYOUT;NOME PT;CAPACIDADE;QTD PECAS;SELOS;APLICACOES;URL QR
015.012.003;7896779601554;2;Ralador Pratic com Pote;420 ML;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/015.012.003
016.012.002;7896779601677;3;Escorredor de Talheres Max;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/016.012.002
016.012.003;7896779601684;3;Escorredor de Talheres Max;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/016.012.003
016.012.086;7896779668656;3;Escorredor de Talheres Max;;1;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/016.012.086
017.024.999;7896779600175;3;Pá de Lixo Inova;;1;ATX,BRA,HIG,FCL,RCL;LIMP;nitron.com.br/p/017.024.999
018.012.002;7896779600182;1;Tábua Multiuso;;1;BPA,ATX,BRA;COZI;nitron.com.br/p/018.012.002
019.024.001;7896779600199;4;Organiza Tudo com 10 Divisórias;;1;BPA,BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/019.024.001
020.024.001;7896779620005;3;Forma de Pudim para Micro-ondas;1.9 L;1;BPA,ATX,BRA,MIC,LAV;COZI;nitron.com.br/p/020.024.001
023.030.002;7896779600236;2;Ralador com 4 Faces;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/023.030.002
024.012.002;7896779624102;3;Cestinho para Prendedor Floral;;1;ATX,BRA,FCL,RCL;ROUP,LIMP,BANH;nitron.com.br/p/024.012.002
024.012.003;7896779624119;3;Cestinho para Prendedor Floral;;1;ATX,BRA,FCL,RCL;ROUP,LIMP,BANH;nitron.com.br/p/024.012.003
027.012.001;7896779602711;3;Porta Pão Armazena e Conserva;2.7 L;1;BPA,ATX,BRA,LAV,EMP,HIG;LIMP,MANT,GRAO,CAFE,ACUC,FARI;nitron.com.br/p/027.012.001
028.012.002;7896779602841;3;Escorredor de Arroz Tradicional;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/028.012.002
028.012.003;7896779602827;3;Escorredor de Arroz Tradicional;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/028.012.003
030.012.001;7896779607143;3;Pote Monterey com 3 Divisórias;1.1 L;1;BPA,ATX,BRA,LAV,EMP,TRP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/030.012.001
030.012.003;7896779603046;3;Pote Monterey com 3 Divisórias;1.1 L;1;BPA,ATX,BRA,LAV,EMP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/030.012.003
032.012.002;7896779621248;3;Jarra com Tampa;2 L;1;BPA,ATX,BRA,LAV,HIG;BEBI,COZI;nitron.com.br/p/032.012.002
032.012.547;7896779603244;3;Jarra com Tampa;2 L;1;BPA,ATX,BRA,LAV,FCL;BEBI,COZI;nitron.com.br/p/032.012.547
033.012.002;7896779603329;3;Jarra com Espremedor;2 L;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/033.012.002
033.012.547;7896779603336;3;Jarra com Espremedor;2 L;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/033.012.547
034.012.001;7896779634149;2;Pote Monaco com 3 Divisórias;1 L;1;BPA,ATX,BRA,LAV;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/034.012.001
034.012.003;7896779603442;2;Pote Monaco com 3 Divisórias;1 L;1;BPA,ATX,BRA,LAV;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/034.012.003
039.012.002;7896779603947;3;Escorredor Básico com Cabo;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/039.012.002
039.012.003;7896779603916;3;Escorredor Básico com Cabo;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/039.012.003
041.012.002;7896779604142;4;Organizador Multiuso Rattan com 3 Divisórias;;1;BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/041.012.002
041.012.003;7896779604111;4;Organizador Multiuso Rattan com 3 Divisórias;;1;BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/041.012.003
041.012.086;7896779641208;4;Organizador Multiuso Rattan com 3 Divisórias;;1;BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/041.012.086
043.012.002;7896779604333;4;Frasqueira Medicamentos;1.4 L;1;BRA,EMP,HIG,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/043.012.002
043.012.009;7896779604388;4;Frasqueira Medicamentos;1.4 L;1;BRA,EMP,HIG,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/043.012.009
044.012.005;7896779600441;2;Porta Filtro para Café;;1;BPA,ATX,BRA,LAV;CAFE,COZI,MANT,TEMP;nitron.com.br/p/044.012.005
045.012.001;7896779604517;3;Forma de Pudim para Microondas com Tampa;1.9 L;1;BPA,ATX,BRA,MIC,LAV,FCL;COZI;nitron.com.br/p/045.012.001
046.012.002;7896779660100;2;Porta Óleo Itália;;1;BPA,ATX,BRA,LAV;TEMP,COZI,MANT;nitron.com.br/p/046.012.002
046.012.003;7896779646012;2;Porta Óleo Itália;;1;BPA,ATX,BRA,LAV;TEMP,COZI,MANT;nitron.com.br/p/046.012.003
047.012.002;7896779630479;4;Cesto Organizador Vime;7 L;1;BPA,BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/047.012.002
047.012.003;7896779640478;4;Cesto Organizador Vime;7 L;1;BPA,BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/047.012.003
050.012.001;7896779605019;3;Pote Premier com 4 Divisórias;1.1 L;1;BPA,ATX,BRA,LAV,EMP,TRP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/050.012.001
050.012.003;7896779605095;3;Pote Premier com 4 Divisórias;1.1 L;1;BPA,ATX,BRA,LAV,EMP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/050.012.003
051.012.002;7896779605149;2;Porta Detergente 3 em 1;;1;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/051.012.002
051.012.003;7896779605118;2;Porta Detergente 3 em 1;;1;BPA,ATX,BRA,LAV;PET,LIMP,COZI,MANT;nitron.com.br/p/051.012.003
051.012.086;7896779618668;2;Porta Detergente 3 em 1;;1;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/051.012.086
052.006.002;7896779605248;3;Lixeira Rattan com Pedal;6 L;1;ATX,BRA,PED,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/052.006.002
052.006.003;7896779650521;3;Lixeira Rattan com Pedal;6 L;1;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/052.006.003
052.006.086;7896779605231;3;Lixeira Rattan com Pedal;6 L;1;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/052.006.086
053.004.002;7896779605347;4;Prateleira Multi uso com 4 Andares;;1;BRA,EMP,FCL,RCL;DECO;nitron.com.br/p/053.004.002
053.004.003;7896779650538;4;Prateleira Multi uso com 4 Andares;;1;BRA,EMP,FCL,RCL;DECO;nitron.com.br/p/053.004.003
054.004.001;7896779600540;3;Cesto de Roupas;47 L;1;BPA,ATX,BRA,FCL,RCL;ROUP;nitron.com.br/p/054.004.001
054.004.003;7896779605422;3;Cesto de Roupas;47 L;1;ATX,BRA,FCL,RCL;ROUP;nitron.com.br/p/054.004.003
055.012.002;7896779655106;3;Escorredor Multiúso;;1;BPA,ATX,BRA,MIC,FRZ,LAV;COZI;nitron.com.br/p/055.012.002
055.012.003;7896779605514;3;Escorredor Multiúso;;1;BPA,ATX,BRA,MIC,FRZ,LAV;COZI;nitron.com.br/p/055.012.003
056.012.002;7896779605644;3;Escorredor Luxo com Cabo;;1;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/056.012.002
056.012.003;7896779605613;3;Escorredor Luxo com Cabo;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/056.012.003
059.012.002;7896779605941;3;Escorredor de Pratos;;1;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/059.012.002
059.012.003;7896779605910;3;Escorredor de Pratos;;1;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/059.012.003
059.012.086;7896779659180;3;Escorredor de Pratos;;1;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/059.012.086
060.012.002;7896779660216;2;Porta Talher. Paris c/ 4 Div. e Tampa;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/060.012.002
060.012.003;7896779660919;2;Porta Talher. Paris c/ 4 Div. e Tampa;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/060.012.003
062.012.002;7896779606245;4;Caixa Organizadora Rattan com Tampa;4 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/062.012.002
062.012.003;7896779650620;4;Caixa Organizadora Rattan com Tampa;4 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/062.012.003
062.012.086;7896779628636;4;Caixa Organizadora Rattan com Tampa;4 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/062.012.086
064.012.002;7896779606429;3;Jarra com Tubo para Gelo;2 L;1;BPA,ATX,BRA,FRZ,LAV;BEBI,COZI;nitron.com.br/p/064.012.002
064.012.547;7896779664122;3;Jarra com Tubo para Gelo;2 L;1;BPA,ATX,BRA,FRZ,LAV,HIG;BEBI,COZI;nitron.com.br/p/064.012.547
065.012.002;7896779660650;4;Caixa Organizadora Rattan com Tampa;2 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/065.012.002
065.012.003;7896779670659;4;Caixa Organizadora Rattan com Tampa;2 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/065.012.003
065.012.086;7896779665204;4;Caixa Organizadora Rattan com Tampa;2 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/065.012.086
067.012.002;7896779606764;2;Saleiro;1 KG;1;BPA,ATX,BRA,LAV;PET,COZI,MANT,TEMP;nitron.com.br/p/067.012.002
067.012.003;7896779606726;2;Saleiro;1 KG;1;BPA,ATX,BRA,LAV;PET,COZI,MANT,TEMP;nitron.com.br/p/067.012.003
068.012.002;7896779606849;4;Caixa Organizadora Rattan com Tampa;8 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/068.012.002
068.012.003;7896779650682;4;Caixa Organizadora Rattan com Tampa;8 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/068.012.003
068.012.086;7896779668212;4;Caixa Organizadora Rattan com Tampa;8 L;1;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/068.012.086
069.006.002;7896779603695;4;Caixa Organizadora Rattan com Tampa;16 L;1;BPA,BRA,EMP,FCL,RCL;BRIN,PET,ROUP,PECA,FERR,ESCR,DOCU;nitron.com.br/p/069.006.002
069.006.003;7896779607693;4;Caixa Organizadora Rattan com Tampa;16 L;1;BRA,EMP,HIG,FCL,RCL;BRIN,ROUP,MAQU,PECA,FERR,ESCR,DOCU;nitron.com.br/p/069.006.003
069.006.086;7896779606948;4;Caixa Organizadora Rattan com Tampa;16 L;1;BRA,EMP,FCL,RCL;LIMP,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/069.006.086
070.006.002;7896779607044;3;Escorredor Luxo;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/070.006.002
070.006.003;7896779607013;3;Escorredor Luxo;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/070.006.003
075.024.001;7896779600755;2;Sanduicheira Pratic;600 ML;1;BPA,ATX,BRA,LAV;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/075.024.001
076.024.001;7896779607617;1;Saboneteira com Tampa;;1;BRA,HIG,FCL;BANH,HIGI;nitron.com.br/p/076.024.001
076.024.066;7896779607631;1;Saboneteira com Tampa;;1;BRA,HIG,FCL;BANH,HIGI;nitron.com.br/p/076.024.066
077.012.002;7896779607747;3;Escorredor Ideal;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/077.012.002
077.012.003;7896779607723;3;Escorredor Ideal;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/077.012.003
078.036.001;7896779600786;2;Forma de Gelo Firenze;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/078.036.001
079.012.002;7896779607976;3;Porta Shampoo e Prateleira Madri;;1;BPA,BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/079.012.002
079.012.003;7896779607983;3;Porta Shampoo e Prateleira Madri;;1;BPA,BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/079.012.003
081.012.002;7896779608164;3;Porta Papel Toalha;;1;BPA,ATX,BRA,LAV;COZI,MANT,TEMP;nitron.com.br/p/081.012.002
081.012.003;7896779681105;3;Porta Papel Toalha;;1;BPA,ATX,BRA,LAV;COZI,MANT,TEMP;nitron.com.br/p/081.012.003
088.012.002;7896779608843;3;Jarra Estrela com Tampa;1.6 L;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/088.012.002
088.012.547;7896779688159;3;Jarra Estrela com Tampa;1.6 L;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/088.012.547
090.012.002;7896779609031;2;Saleiro Rubi;1 KG;1;BPA,ATX,BRA,LAV;COZI,MANT,TEMP;nitron.com.br/p/090.012.002
090.012.003;7896779609055;2;Saleiro Rubi;1 KG;1;BPA,ATX,BRA,LAV;COZI,MANT,TEMP;nitron.com.br/p/090.012.003
091.012.002;7896779609147;3;Lixeira Verona;4 L;1;BRA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/091.012.002
091.012.003;7896779609178;3;Lixeira Verona;4 L;1;BRA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/091.012.003
092.012.002;7896779609215;2;Saboneteira de Parede com Ventosa;;1;BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/092.012.002
092.012.003;7896779609222;2;Saboneteira de Parede com Ventosa;;1;BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/092.012.003
093.012.002;7896779609345;4;Cestinho Versátil;4.2 L;1;BRA,EMP,HIG,FCL,RCL;BRIN,PECA,FERR,ESCR,DOCU,ROUP;nitron.com.br/p/093.012.002
093.012.003;7896779609314;4;Cestinho Versátil;4.2 L;1;BRA,EMP,HIG,FCL,RCL;BRIN,PECA,FERR,ESCR,DOCU,ROUP;nitron.com.br/p/093.012.003
094.012.002;7896779609420;1;Açucareiro Doçura;350 ML;1;BPA,ATX,BRA;ACUC,COZI,MANT;nitron.com.br/p/094.012.002
094.012.003;7896779609444;1;Açucareiro Doçura;350 ML;1;BPA,ATX,BRA;ACUC,COZI,MANT;nitron.com.br/p/094.012.003
095.012.002;7896779609574;3;Cantoneira para Banheiro Premium;;1;ATX,BRA,HIG,FCL,RCL;DECO;nitron.com.br/p/095.012.002
095.012.003;7896779609512;3;Cantoneira para Banheiro Premium;;1;BRA,HIG,FCL,RCL;DECO;nitron.com.br/p/095.012.003
096.012.002;7896779609642;3;Escorredor de Pratos Rattan;;1;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/096.012.002
096.012.003;7896779610969;3;Escorredor de Pratos Rattan;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/096.012.003
096.012.086;7896779696208;3;Escorredor de Pratos Rattan;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/096.012.086
097.012.001;7896779600977;4;Caixa Organizadora Nitronbox;10 L;1;BRA,EMP,FCL,TRP,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/097.012.001
098.012.999;7896779609840;3;Balde Limpex;8 L;1;ATX,BRA,FCL,RCL;LIMP;nitron.com.br/p/098.012.999
100.006.002;7896779610075;3;Lixeira com Pedal;7 L;1;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/100.006.002
100.006.003;7896779600328;3;Lixeira com Pedal;7 L;1;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/100.006.003
103.024.003;7896779610310;2;Marmibox com Div. para Talheres;780 ML;1;BPA,ATX,BRA,MIC;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/103.024.003
105.024.003;7896779610518;2;Marmita Bom Apetite c/ Bandeija e Válvula;800 ML;1;BPA,ATX,BRA,VLV;SOBR,PET,MANT,GRAO;nitron.com.br/p/105.024.003
106.012.001;7896779601066;4;Organiza Tudo com 16 Divisórias;;1;BRA,EMP,FCL,RCL;FERR,ARTE,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/106.012.001
109.012.001;7896779601097;4;Caixa Organizadora Nitronbox;6 L;1;BRA,EMP,FCL,TRP,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/109.012.001
110.006.001;7896779601103;4;Caixa Organizadora Nitronbox;20 L;1;BRA,EMP,FCL,TRP,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/110.006.001
111.012.002;7896779611270;2;Espremedor Portátil Fit;510 ML;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/111.012.002
111.012.549;7896779611133;2;Espremedor Portátil Fit;510 ML;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/111.012.549
112.012.002;7896779612208;2;Copo Medidor com Tampa;500 ML;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/112.012.002
112.012.547;7896779612147;2;Copo Medidor com Tampa;500 ML;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/112.012.547
113.012.002;7896779611362;2;Tanquinho Porta Sabão em Barra;;1;ATX,BRA,HIG,FCL;LIMP;nitron.com.br/p/113.012.002
113.012.003;7896779613106;2;Tanquinho Porta Sabão em Barra;;1;BPA,ATX,BRA,FCL;LIMP;nitron.com.br/p/113.012.003
114.012.002;7896779611447;2;Jarrinha com Espremedor;500 ML;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/114.012.002
114.012.547;7896779611416;2;Jarrinha com Espremedor;500 ML;1;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/114.012.547
116.012.002;7896779611645;2;Porta Detergente com Telinha;;1;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/116.012.002
116.012.003;7896779611676;2;Porta Detergente com Telinha;;1;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/116.012.003
116.012.086;7896779668663;2;Porta Detergente com Telinha;;1;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/116.012.086
117.012.002;7896779601172;1;Tábua Extra Grande;;1;BPA,ATX,BRA;COZI;nitron.com.br/p/117.012.002
120.006.001;7896779612086;4;Frasqueira com Bandeja;2.8 L;1;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/120.006.001
120.006.012;7896779612024;4;Frasqueira com Bandeja;2.8 L;1;BRA,EMP,FCL;MAQU,MEDI,COSM,HIGI;nitron.com.br/p/120.006.012
121.012.002;7896779621057;3;Escorredor de Arroz Caribe;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/121.012.002
121.012.003;7896779610068;3;Escorredor de Arroz Caribe;;1;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/121.012.003
122.012.002;7896779626618;2;Porta Escovas com Tampa;;1;BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/122.012.002
122.012.003;7896779622726;2;Porta Escovas com Tampa;;1;BPA,BRA,HIG,FCL;BANH,HIGI;nitron.com.br/p/122.012.003
122.012.066;7896779626625;2;Porta Escovas com Tampa;;1;BRA,HIG,FCL,RCL;BANH,HIGI;nitron.com.br/p/122.012.066
123.012.027;7896779612338;4;Caixa de Ferramentas Nitronfort;2.2 L;1;BRA,EMP,FCL,RCL;FERR,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/123.012.027
123.012.028;7896779612345;4;Caixa de Ferramentas Nitronfort;2.2 L;1;BRA,EMP,FCL,RCL;FERR,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/123.012.028
123.012.045;7896779612314;4;Caixa de Ferramentas Nitronfort;2.2 L;1;BRA,EMP,FCL,RCL;FERR,PECA,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/123.012.045
124.012.003;7896779612451;2;Kit Marmita com Talheres;780 ML;1;BPA,ATX,BRA,LAV;SOBR,MANT,GRAO,CAFE;nitron.com.br/p/124.012.003
125.012.001;7896779601257;4;Caixa Organizadora Nitronbox;4.3 L;1;BRA,EMP,FCL,TRP,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/125.012.001
126.006.001;7896779612697;4;Frasqueira com Bandeja;6.2 L;1;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/126.006.001
126.006.619;7896779612635;4;Frasqueira com Bandeja;6.2 L;1;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/126.006.619
128.012.002;7896779612826;3;Cestinho para Prendedor;;1;ATX,BRA,FCL,RCL;COST,ROUP,LIMP,BANH;nitron.com.br/p/128.012.002
128.012.003;7896779612833;3;Cestinho para Prendedor;;1;ATX,BRA,FCL,RCL;LIMP,ROUP,BANH;nitron.com.br/p/128.012.003
129.012.002;7896779612949;2;Porta Talheres Stillo com 4 Div.;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/129.012.002
129.012.003;7896779612918;2;Porta Talheres Stillo com 4 Div.;;1;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/129.012.003
130.012.002;7896779613045;3;Lixeira Retrátil;4 L;1;BPA,BRA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/130.012.002
130.012.003;7896779613083;3;Lixeira Retrátil;4 L;1;BPA,BRA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/130.012.003
131.012.002;7896779631018;4;Frasqueira Medicamento;;1;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/131.012.002
131.012.009;7896779631025;4;Frasqueira Medicamento;;1;BRA,EMP,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/131.012.009
132.036.683;7896779601325;1;Prato Unitário;;1;BPA,ATX,BRA;COZI,MANT,TEMP;nitron.com.br/p/132.036.683
133.012.002;7896779613342;2;Porta Detergente Rattan com Base;;1;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/133.012.002
133.012.003;7896779641338;2;Porta Detergente Rattan com Base;;1;BPA,ATX,BRA,LAV;PET,LIMP,COZI,MANT;nitron.com.br/p/133.012.003
133.012.086;7896779633203;2;Porta Detergente Rattan com Base;;1;BPA,ATX,BRA,LAV;PET,LIMP,COZI,MANT;nitron.com.br/p/133.012.086
134.012.002;7896779613441;3;Lixeira Basculante Rattan;4.5 L;1;BPA,BRA,TBA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/134.012.002
134.012.003;7896779651344;3;Lixeira Basculante Rattan;4.5 L;1;BPA,BRA,TBA,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/134.012.003
134.012.086;7896779634194;3;Lixeira Basculante Rattan;4.5 L;1;BPA,BRA,TBA,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/134.012.086
135.024.001;7896779601356;2;Tampa para Micro-ondas;;1;BPA,ATX,BRA,MIC;COZI;nitron.com.br/p/135.024.001
