CODPROD;REFERENCIA;DESCRICAO SANKHYA;LAYOUT;NOME PT;NOME EN;NOME ES;CAP VALOR;CAP UNID;QTD PECAS;LARG CM;ALT CM;PROF CM;SELOS;APLICACOES;URL QR
;008.012.003;Porta Sabão em Pó com Dosador - Preto 2 Kg;3;Porta Sabão em Pó com Dosador;Washing Powder Holder with Measuring;Jabonera en Polvo con Dosificador;2.0;KG;1;20.7;25.0;10.5;ATX,BRA,HIG,FCL,RCL;LIMP,ROUP,BANH;nitron.com.br/p/008.012.003
;010.001.003;Caixa Expositora com 40 kits de 10 Cabides;4;Caixa Expositora com 40 kits de 10 Cabides;Display Box with 40 Sets of 10 Hangers;Caja Expositora con 40 Juegos de 10 Perchas;;;40;50.0;72.5;50.0;BRA,EMP,FCL,RCL;ROUP,PECA,FERR,ESCR,BRIN,DOCU;nitron.com.br/p/010.001.003
;010.010.003;Cabide com 10 Peças - Preto;4;Cabide com 10 Peças;Hanger with 10 Pieces;Percha con 10 Piezas;;;10;39.5;20.0;7.0;BRA,EMP,FCL,RCL;ROUP;nitron.com.br/p/010.010.003
;010.012.001;Cabide com 3 Peças - Transparente;4;Cabide com 3 Peças;Hanger with 3 Pieces;Percha con 3 Piezas;;;3;39.5;20.0;2.1;BRA,EMP,FCL,TRP,RCL;ROUP;nitron.com.br/p/010.012.001
;011.036.001;Organiza Tudo com 7 Divisórias (011);4;Organiza Tudo com 7 Divisórias;Organizes Everything with 7 Compartments;Organiza todo con 7 divisores;;;1;13.5;3.2;9.5;BRA,HER,EMP,FCL,RCL;PREG,COST,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/011.036.001
;012.012.016;Porta Sabão em Pó 600 g;2;Porta Sabão em Pó;Washing Powder Holder;Jabonera en Polvo;600.0;G;1;12.9;15.5;7.9;ATX,BRA,FCL,RCL;LIMP,ROUP,BANH;nitron.com.br/p/012.012.016
;013.050.003;Suporte para Botijão - Preto;4;Suporte para Botijão;Gas Cylinder Holder;Soporte de cilindro;;;1;29.0;6.0;29.0;BRA,EMP,FCL,RCL;COZI;nitron.com.br/p/013.050.003
;013.050.004;Suporte para Botijão - Areia (013);4;Suporte para Botijão;Gas Cylinder Holder;Soporte de cilindro;;;1;29.0;6.0;29.0;BRA,EMP,FCL,RCL;COZI;nitron.com.br/p/013.050.004
;015.012.002;Ralador Pratic com Pote - Branco 420ml;2;Ralador Pratic com Pote;Practical Grater with container;Rallador Pratic con Olla;420.0;ML;1;21.0;5.4;11.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/015.012.002
;015.012.003;Ralador Pratic com Pote - Preto 420ml;2;Ralador Pratic com Pote;Practical Grater with container;Rallador Pratic con Olla;420.0;ML;1;21.0;5.4;11.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/015.012.003
;016.012.002;Escorredor de Talheres Max - Branco (016/B);3;Escorredor de Talheres Max;Max Cutlery Drainer;Escurridor de cubiertos Max;;;1;24.0;13.5;11.5;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/016.012.002
;016.012.003;Escorredor de Talheres Max - Preto;3;Escorredor de Talheres Max;Max Cutlery Drainer;Escurridor de cubiertos Max;;;1;24.0;13.5;11.5;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/016.012.003
;016.012.086;Escorredor de Talheres Max - Chumbo (016/B);3;Escorredor de Talheres Max;Max Cutlery Drainer;Escurridor de cubiertos Max;;;1;24.0;13.5;11.5;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/016.012.086
;017.024.999;Pá de Lixo Inova (017);3;Pá de Lixo Inova;Inova Dustpan;Recogedor Inova;;;1;32.2;10.2;22.2;ATX,BRA,HIG,FCL,RCL;LIMP;nitron.com.br/p/017.024.999
;018.012.002;Tábua Multiuso - Branca;1;Tábua Multiuso;Multipurpose Board;Tablero multiusos;;;1;20.5;0.4;35.6;BPA,ATX,BRA;COZI;nitron.com.br/p/018.012.002
;019.024.001;Organiza Tudo com 10 Divisórias (019);4;Organiza Tudo com 10 Divisórias;Organizes Everything with 10 Compartments;Organiza todo con 10 divisores;;;1;20.5;4.1;11.8;BPA,BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/019.024.001
;020.024.001;Forma de Pudim para Micro-ondas 1,9L (020);3;Forma de Pudim para Micro-ondas;Microwave Pudding Pan;Molde Para Pudin Microondas;1.9;L;1;26.0;7.0;23.5;BPA,ATX,BRA,MIC,LAV;COZI;nitron.com.br/p/020.024.001
;023.030.002;Ralador com 4 Faces (023);2;Ralador com 4 Faces;Grater with 4 Sides;Rallador de 4 lados;;;1;10.4;19.2;12.5;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/023.030.002
;024.012.002;Cestinho para Prendedor Floral - Branco;3;Cestinho para Prendedor Floral;Floral Clothespin Basket;Cesta Para Prendedor Floral Pequeño;;;1;26.8;13.5;14.4;ATX,BRA,FCL,RCL;ROUP,LIMP,BANH;nitron.com.br/p/024.012.002
;024.012.003;Cestinho para Prendedor Floral - Preto;3;Cestinho para Prendedor Floral;Floral Clothespin Basket;Cesta Para Prendedor Floral Pequeño;;;1;26.8;13.5;14.4;ATX,BRA,FCL,RCL;ROUP,LIMP,BANH;nitron.com.br/p/024.012.003
;027.012.001;Porta Pão Armazena e Conserva - 2,7L (027);3;Porta Pão Armazena e Conserva;Bread Storage e Preserving Holder;Porta para pan para almacenamiento y conservación;2.7;L;1;34.5;13.5;14.0;BPA,ATX,BRA,LAV,EMP,HIG;LIMP,MANT,GRAO,CAFE,ACUC,FARI;nitron.com.br/p/027.012.001
;028.012.002;Escorredor de Arroz Tradicional - Branco;3;Escorredor de Arroz Tradicional;Traditional Rice Strainer;Colador de Arroz Tradicional;;;1;28.0;16.0;22.0;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/028.012.002
;028.012.003;Escorredor de Arroz Tradicional - Preto;3;Escorredor de Arroz Tradicional;Traditional Rice Strainer;Colador de Arroz Tradicional;;;1;28.0;16.0;22.0;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/028.012.003
;030.012.001;Pote Monterey com 3 Divisórias - Transparente 1,1L (0307.012.001);3;Pote Monterey com 3 Divisórias;Monterey container with 3 Compartments;Recipientes Monterey con 3 Divisores;1.1;L;1;21.2;5.5;21.2;BPA,ATX,BRA,LAV,EMP,TRP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/030.012.001
;030.012.003;Pote Monterey com 3 Divisórias - Preto 1,1L;3;Pote Monterey com 3 Divisórias;Monterey container with 3 Compartments;Recipientes Monterey con 3 Divisores;1.1;L;1;21.2;5.5;21.2;BPA,ATX,BRA,LAV,EMP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/030.012.003
;032.012.002;Jarra com Tampa - Branco 2L;3;Jarra com Tampa;Jug with Lid;Tarro con Tapa;2.0;L;1;20.8;19.9;14.5;BPA,ATX,BRA,LAV,HIG;BEBI,COZI;nitron.com.br/p/032.012.002
;032.012.547;Jarra com Tampa - Vermelho 2L;3;Jarra com Tampa;Jug with Lid;Tarro con Tapa;2.0;L;1;20.8;19.9;14.5;BPA,ATX,BRA,LAV,FCL;BEBI,COZI;nitron.com.br/p/032.012.547
;033.012.002;Jarra com Espremedor - Branco 2L;3;Jarra com Espremedor;Jug with Squeezer;Jarra con Exprimidor;2.0;L;1;20.8;21.8;14.5;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/033.012.002
;033.012.547;Jarra com Espremedor - Vermelho 2L;3;Jarra com Espremedor;Jug with Squeezer;Jarra con Exprimidor;2.0;L;1;20.8;21.8;14.5;BPA,ATX,BRA,LAV;BEBI,COZI;nitron.com.br/p/033.012.547
;034.012.001;Pote Monaco com 3 Divisórias - Transparente 1L;2;Pote Monaco com 3 Divisórias;Monaco container with 3 Comp.;Recipientes Monaco con 3 Divisores;1.0;L;1;24.5;5.0;19.0;BPA,ATX,BRA,LAV;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/034.012.001
;034.012.003;Pote Monaco com 3 Divisórias - Preto 1L;2;Pote Monaco com 3 Divisórias;Monaco container with 3 Comp.;Maceta Monaco con 3 Divisores;1.0;L;1;24.5;5.0;19.0;BPA,ATX,BRA,LAV;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/034.012.003
;039.012.002;Escorredor Básico com Cabo - Branco;3;Escorredor Básico com Cabo;Basic Pasta Strainer with Handle;Escurridor de Pasta Básico con asa;;;1;38.5;9.0;23.0;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/039.012.002
;039.012.003;Escorredor Básico com Cabo - Preto;3;Escorredor Básico com Cabo;Basic Pasta Strainer with Handle;Escurridor de pasta básico con asa;;;1;38.5;9.0;23.0;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/039.012.003
;041.012.002;Organizador Multiuso Rattan com 3 Divisórias - Branco (041/B);4;Organizador Multiuso Rattan com 3 Divisórias;Multipurpose Rattan Organizer with 3 Comp.;Organizador multiusos de ratán con 3 Div.;;;1;16.0;17.8;11.0;BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/041.012.002
;041.012.003;Organizador Multiuso Rattan com 3 Divisórias - Preto (041/P);4;Organizador Multiuso Rattan com 3 Divisórias;Multipurpose Rattan Organizer with 3 Comp.;Organizador multiusos de ratán con 3 Div.;;;1;16.0;17.8;11.0;BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/041.012.003
;041.012.086;Organizador Multiuso Rattan com 3 Divisórias - Chumbo;4;Organizador Multiuso Rattan com 3 Divisórias;Multipurpose Rattan Organizer with 3 Comp.;Organizador multiusos de ratán con 3 Div.;;;1;16.0;17.8;11.0;BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/041.012.086
;043.012.002;Frasqueira Medicamentos - Branca 1,4L (043/M);4;Frasqueira Medicamentos;Medic Case;Estuche Médico;1.4;L;1;19.1;10.0;15.7;BRA,EMP,HIG,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/043.012.002
;043.012.009;Frasqueira Medicamentos - Vermelha 1,4L;4;Frasqueira Medicamentos;Medic Case;Estuche Médico;1.4;L;1;19.1;10.0;15.7;BRA,EMP,HIG,FCL;MEDI,COSM,MAQU,HIGI;nitron.com.br/p/043.012.009
;044.012.005;Porta Filtro para Café;2;Porta Filtro para Café;Coffee Filter Holder;Portafiltros de café;;;1;16.0;15.0;12.0;BPA,ATX,BRA,LAV;CAFE,COZI,MANT,TEMP;nitron.com.br/p/044.012.005
;045.012.001;Forma de Pudim para Micro-ondas com Tampa 1,9L (045);3;Forma de Pudim para Microondas com Tampa;Microwave Pudding Mold with Lid;Molde para Pudin con Tapa para Microond.;1.9;L;1;26.2;10.0;23.7;BPA,ATX,BRA,MIC,LAV,FCL;COZI;nitron.com.br/p/045.012.001
;046.012.002;Porta Óleo Itália - Branco;2;Porta Óleo Itália;Italy Oil Holder;Porta aceite Italia;;;1;12.0;16.2;8.8;BPA,ATX,BRA,LAV;TEMP,COZI,MANT;nitron.com.br/p/046.012.002
;046.012.003;Porta Óleo Itália - Preto;2;Porta Óleo Itália;Italy Oil Holder;Porta aceite Italia;;;1;12.0;16.2;8.8;BPA,ATX,BRA,LAV;TEMP,COZI,MANT;nitron.com.br/p/046.012.003
;047.012.002;Cesto Organizador Vime - Branco 7L (047/B);4;Cesto Organizador Vime;Wicker Organizer Basket;Cesta Organizadora de Mimbre;7.0;L;1;29.4;17.0;21.0;BPA,BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/047.012.002
;047.012.003;Cesto Organizador Vime - Preto 7L (047/P);4;Cesto Organizador Vime;Wicker Organizer Basket;Cesta Organizadora de Mimbre;7.0;L;1;29.4;17.0;21.0;BPA,BRA,EMP,FCL,RCL;PET,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/047.012.003
;050.012.001;Pote Premier com 4 Divisórias - Transparente 1,1L;3;Pote Premier com 4 Divisórias;Premier container with 4 Compartments;Recipientes Premier con 4 Divisores;1.1;L;1;22.5;5.0;22.5;BPA,ATX,BRA,LAV,EMP,TRP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/050.012.001
;050.012.003;Pote Premier com 4 Divisórias - Preto 1,1L;3;Pote Premier com 4 Divisórias;Premier container with 4 Compartments;Recipientes Premier con 4 Divisores;1.1;L;1;22.5;5.0;22.5;BPA,ATX,BRA,LAV,EMP;MANT,GRAO,CAFE,ACUC,FARI,MASS;nitron.com.br/p/050.012.003
;051.012.002;Porta Detergente 3 em 1 - Branco (051/B);2;Porta Detergente 3 em 1;3 in 1 Detergent Holder;Porta Detergente 3 en 1;;;1;28.0;6.5;10.2;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/051.012.002
;051.012.003;Porta Detergente 3 em 1 - Preto;2;Porta Detergente 3 em 1;3 in 1 Detergent Holder;Porta Detergente 3 en 1;;;1;28.0;6.5;10.2;BPA,ATX,BRA,LAV;PET,LIMP,COZI,MANT;nitron.com.br/p/051.012.003
;051.012.086;Porta Detergente 3 em 1 - Chumbo (051/B);2;Porta Detergente 3 em 1;3 in 1 Detergent Holder;Porta Detergente 3 en 1;;;1;28.0;6.5;10.2;BPA,ATX,BRA,LAV;LIMP,COZI,MANT,TEMP;nitron.com.br/p/051.012.086
;052.006.002;Lixeira Rattan com Pedal - Branca 6L (052/B);3;Lixeira Rattan com Pedal;Rattan Bin with Pedal;Papelera de Ratán con Pedal;6.0;L;1;24.2;26.0;24.2;ATX,BRA,PED,HIG,FCL,RCL;PET,LIXO,COZI,BANH;nitron.com.br/p/052.006.002
;052.006.003;Lixeira Rattan com Pedal - Preta 6L (052/B);3;Lixeira Rattan com Pedal;Rattan Bin with Pedal;Papelera de Ratán con Pedal;6.0;L;1;24.2;26.0;24.2;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/052.006.003
;052.006.086;Lixeira Rattan com Pedal - Chumbo 6L (052/B);3;Lixeira Rattan com Pedal;Rattan Bin with Pedal;Papelera de Ratán con Pedal;6.0;L;1;24.2;26.0;24.2;BRA,PED,HIG,FCL,RCL;LIXO,COZI,BANH;nitron.com.br/p/052.006.086
;053.004.002;Prateleira Multi uso com 4 Andares - Branca (053/B);4;Prateleira Multi uso com 4 Andares;Multipurpose Shelf with 4 Tiers;Estantería Multiusos con 4 Pisos;;;1;39.5;70.5;30.0;BRA,EMP,FCL,RCL;DECO;nitron.com.br/p/053.004.002
;053.004.003;Prateleira Multi uso com 4 Andares - Preta (053/P);4;Prateleira Multi uso com 4 Andares;Multipurpose Shelf with 4 Tiers;Estante multiusos con 4 pisos;;;1;39.5;70.5;30.0;BRA,EMP,FCL,RCL;DECO;nitron.com.br/p/053.004.003
;054.004.001;Cesto de Roupas 47L (054);3;Cesto de Roupas;47L Laundry Basket;Cesto para la ropa;47.0;L;1;47.5;50.0;34.0;BPA,ATX,BRA,FCL,RCL;ROUP;nitron.com.br/p/054.004.001
;054.004.003;Cesto de Roupas 47L (054);3;Cesto de Roupas;;;47.0;L;1;47.5;50.0;34.0;ATX,BRA,FCL,RCL;ROUP;nitron.com.br/p/054.004.003
;055.012.002;Escorredor Multiúso - Branco;3;Escorredor Multiúso;Multipurpose Strainer;Escurridor Multiusos;;;1;26.0;19.0;21.5;BPA,ATX,BRA,MIC,FRZ,LAV;COZI;nitron.com.br/p/055.012.002
;055.012.003;Escorredor Multiúso - Preto;3;Escorredor Multiúso;Multipurpose Strainer;Escurridor multiusos;;;1;26.0;19.0;21.5;BPA,ATX,BRA,MIC,FRZ,LAV;COZI;nitron.com.br/p/055.012.003
;056.012.002;Escorredor Luxo com Cabo - Branco;3;Escorredor Luxo com Cabo;Luxury Pasta Strainer with Handle;Escurridor de pasta de lujo con asa;;;1;38.5;11.5;25.0;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/056.012.002
;056.012.003;Escorredor Luxo com Cabo - Preto;3;Escorredor Luxo com Cabo;Luxury Pasta Strainer with Handle;Escurridor de pasta de lujo con asa;;;1;38.5;11.5;25.0;BPA,ATX,BRA,LAV,HIG;COZI;nitron.com.br/p/056.012.003
;059.012.002;Escorredor de Pratos - Branco (059/B);3;Escorredor de Pratos;Dish Drainer;Escurreplatos;;;1;42.2;9.5;30.5;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/059.012.002
;059.012.003;Escorredor de Pratos - Preto (059/B);3;Escorredor de Pratos;Dish Drainer;Escurridor de platos;;;1;42.2;9.5;30.5;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/059.012.003
;059.012.086;Escorredor de Pratos - Chumbo (059/B);3;Escorredor de Pratos;Dish Drainer;Escurreplatos;;;1;42.2;9.5;30.5;BPA,ATX,BRA,LAV,FCL;COZI;nitron.com.br/p/059.012.086
;060.012.002;Porta Talheres Paris com 4 Divisórias e Tampa - Branco;2;Porta Talher. Paris c/ 4 Div. e Tampa;Paris Cutlery Holder w/ 4 Comp. and Lid;Portacubiertos Paris c/ 4 Div. y tapa;;;1;32.5;5.0;21.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/060.012.002
;060.012.003;Porta Talheres Paris com 4 Divisórias e Tampa - Preto;2;Porta Talher. Paris c/ 4 Div. e Tampa;Paris Cutlery Holder w/ 4 Comp. and Lid;Portacubiertos Paris c/ 4 Div. y tapa;;;1;32.5;5.0;21.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/060.012.003
;062.012.002;Caixa Organizadora Rattan com Tampa - Branca 4L;4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;4.0;L;1;25.5;10.7;20.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/062.012.002
;062.012.003;Caixa Organizadora Rattan com Tampa - Preta 4L;4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;4.0;L;1;25.5;10.7;20.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/062.012.003
;062.012.086;Caixa Organizadora Rattan com Tampa - Chumbo 4L;4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;4.0;L;1;25.5;10.7;20.0;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/062.012.086
;064.012.002;Jarra com Tubo para Gelo - Branco 2L;3;Jarra com Tubo para Gelo;Jug with Ice Tube;Jarra con tubo para hielo;2.0;L;1;20.8;19.9;14.5;BPA,ATX,BRA,FRZ,LAV;BEBI,COZI;nitron.com.br/p/064.012.002
;064.012.547;Jarra com Tubo para Gelo - Vermelho 2L;3;Jarra com Tubo para Gelo;Jug with Ice Tube;Jarra con tubo para hielo;2.0;L;1;20.8;19.9;14.5;BPA,ATX,BRA,FRZ,LAV,HIG;BEBI,COZI;nitron.com.br/p/064.012.547
;065.012.002;Caixa Organizadora Rattan com Tampa - Branca 2L (065/B);4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;2.0;L;1;20.5;9.0;15.4;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/065.012.002
;065.012.003;Caixa Organizadora Rattan com Tampa - Preta 2L (065/P);4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;2.0;L;1;20.5;9.0;15.4;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/065.012.003
;065.012.086;Caixa Organizadora Rattan com Tampa - Chumbo 2L;4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;2.0;L;1;20.5;9.0;15.4;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/065.012.086
;067.012.002;Saleiro - Transparente e Branco;2;Saleiro;Salt Shaker;Salero;1.0;KG;1;16.0;12.0;11.0;BPA,ATX,BRA,LAV;PET,COZI,MANT,TEMP;nitron.com.br/p/067.012.002
;067.012.003;Saleiro - Transparente e Preto;2;Saleiro;Salt Shaker;Salero;1.0;KG;1;16.0;12.0;11.0;BPA,ATX,BRA,LAV;PET,COZI,MANT,TEMP;nitron.com.br/p/067.012.003
;068.012.002;Caixa Organizadora Rattan com Tampa - Branca 8L (068/B);4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja organizadora de ratán con tapa;8.0;L;1;32.3;14.8;22.5;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/068.012.002
;068.012.003;Caixa Organizadora Rattan com Tampa - Preta 8L (068/P);4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja organizadora de ratán con tapa;8.0;L;1;32.3;14.8;22.5;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/068.012.003
;068.012.086;Caixa Organizadora Rattan com Tampa - Chumbo 8L;4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;8.0;L;1;32.3;14.8;22.5;BRA,EMP,FCL,RCL;PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/068.012.086
;069.006.002;Caixa Organizadora Rattan com Tampa - Branca 16L (069/B);4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;16.0;L;1;38.5;19.0;28.0;BPA,BRA,EMP,FCL,RCL;BRIN,PET,ROUP,PECA,FERR,ESCR,DOCU;nitron.com.br/p/069.006.002
;069.006.003;Caixa Organizadora Rattan com Tampa - Preta 16L (069/P);4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;16.0;L;1;38.5;19.0;28.0;BRA,EMP,HIG,FCL,RCL;BRIN,ROUP,MAQU,PECA,FERR,ESCR,DOCU;nitron.com.br/p/069.006.003
;069.006.086;Caixa Organizadora Rattan com Tampa - Chumbo 16L;4;Caixa Organizadora Rattan com Tampa;Rattan Organizer Box with Lid;Caja Organizadora de Ratán con Tapa;16.0;L;1;38.5;19.0;28.0;BRA,EMP,FCL,RCL;LIMP,PECA,FERR,ESCR,BRIN,DOCU,ROUP;nitron.com.br/p/069.006.086
;070.006.002;Escorredor Luxo - Branco;3;Escorredor Luxo;Luxury Pasta Strainer;Escurridor de pasta de lujo;;;1;34.8;14.5;27.8;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/070.006.002
;070.006.003;Escorredor Luxo - Preto;3;Escorredor Luxo;Luxury Pasta Strainer;Escurridor de pasta de lujo;;;1;34.8;14.5;27.8;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/070.006.003
;075.024.001;Sanduicheira Pratic - 600ml (075);2;Sanduicheira Pratic;Pratc Sandwich Maker;Sandwichera Pratic;600.0;ML;1;13.9;7.0;12.5;BPA,ATX,BRA,LAV;MANT,GRAO,CAFE,ACUC;nitron.com.br/p/075.024.001
;076.024.001;Saboneteira com Tampa - Transparente;1;Saboneteira com Tampa;Soap Dish with Lid;Jabonera con Tapa;;;1;10.8;4.2;7.8;BRA,HIG,FCL;BANH,HIGI;nitron.com.br/p/076.024.001
;076.024.066;Saboneteira com Tampa - Fumê;1;Saboneteira com Tampa;Soap Dish with Lid;Jabonera con Tapa;;;1;10.8;4.2;7.8;BRA,HIG,FCL;BANH,HIGI;nitron.com.br/p/076.024.066
;077.012.002;Escorredor Ideal - Branco;3;Escorredor Ideal;Ideal Pasta Strainer;Escurridor de pasta Ideal;;;1;26.7;10.0;24.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/077.012.002
;077.012.003;Escorredor Ideal - Preto;3;Escorredor Ideal;Ideal Pasta Strainer;Escurridor de pasta Ideal;;;1;26.7;10.0;24.0;BPA,ATX,BRA,LAV;COZI;nitron.com.br/p/077.012.003
