REFERENCIA;EAN;CATEGORIA;LAYOUT;PORQUE ESTE LAYOUT;NOME NA ORIGEM;NOME PT PROPOSTO;CARACTERES;LIMITE;ABREVIATURAS APLICADAS;SELOS COM EVIDENCIA NO TEXTO;SELOS CORTADOS PELO LIMITE;APLICACOES CORTADAS;ALERTAS
010.001.003;7896779600021;Organização;4;categoria Organização;Caixa Expositora com 40 kits de 10 Cabides;Caixa Expositora com 40 kits de 10 Cabides;42;44;;;;;SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
010.010.003;7896779600038;Organização;4;categoria Organização;Cabide com 10 Peças - Preto;Cabide com 10 Peças;19;44;;;;;SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
010.012.001;7896779611058;Organização;4;categoria Organização;Cabide com 3 Peças - Transparente;Cabide com 3 Peças;18;44;;TRP;;;SEM CAPACIDADE
011.036.001;7896779600113;Organização;4;categoria Organização;Organiza Tudo com 7 Divisórias (011);Organiza Tudo com 7 Divisórias;30;44;;HER;;;SEM CAPACIDADE
012.012.016;7896779612222;Limpeza;2;face 200 cm2;Porta Sabão em Pó 600 g;Porta Sabão em Pó;17;34;;;;;
013.050.003;7896779601387;Organização;4;categoria Organização;Suporte para Botijão - Preto;Suporte para Botijão;20;44;;;;;SEM CAPACIDADE | DIMENSAO E DIAMETRO
013.050.004;7896779600137;Organização;4;categoria Organização;Suporte para Botijão - Areia (013);Suporte para Botijão;20;44;;;;;SEM CAPACIDADE | DIMENSAO E DIAMETRO
015.012.002;7896779601547;Cozinha;2;capacidade 420 ml;Ralador Pratic com Pote - Branco 420ml;Ralador Pratic com Pote;23;34;;;;;
015.012.003;7896779601554;Cozinha;2;capacidade 420 ml;Ralador Pratic com Pote - Preto 420ml;Ralador Pratic com Pote;23;34;;HIG;HIG;;
016.012.002;7896779601677;Cozinha;3;face 324 cm2;Escorredor de Talheres Max - Branco (016/B);Escorredor de Talheres Max;26;40;;BPA,HIG;;;SEM CAPACIDADE
016.012.003;7896779601684;Cozinha;3;face 324 cm2;Escorredor de Talheres Max - Preto;Escorredor de Talheres Max;26;40;;BPA,HIG;;;SEM CAPACIDADE
016.012.086;7896779668656;Cozinha;3;face 324 cm2;Escorredor de Talheres Max - Chumbo (016/B);Escorredor de Talheres Max;26;40;;BPA,FCL;;;SEM CAPACIDADE
017.024.999;7896779600175;Limpeza;3;face 328 cm2;Pá de Lixo Inova (017);Pá de Lixo Inova;16;40;;HIG;;;SEM CAPACIDADE
018.012.002;7896779600182;Cozinha;1;face 8 cm2;Tábua Multiuso - Branca;Tábua Multiuso;14;28;;BPA;LAV;;SEM CAPACIDADE
019.024.001;7896779600199;Organização;4;categoria Organização;Organiza Tudo com 10 Divisórias (019);Organiza Tudo com 10 Divisórias;31;44;;BPA;;;SEM CAPACIDADE
020.024.001;7896779620005;Micro-ondas;3;capacidade 1900 ml;Forma de Pudim para Micro-ondas 1,9L (020);Forma de Pudim para Micro-ondas;31;40;;MIC;;;
023.030.002;7896779600236;Cozinha;2;face 200 cm2;Ralador com 4 Faces (023);Ralador com 4 Faces;19;34;;BPA,HIG,FCL;HIG,FCL;;SEM CAPACIDADE
024.012.002;7896779624102;Limpeza;3;face 362 cm2;Cestinho para Prendedor Floral - Branco;Cestinho para Prendedor Floral;30;40;;;;;SEM CAPACIDADE
024.012.003;7896779624119;Limpeza;3;face 362 cm2;Cestinho para Prendedor Floral - Preto;Cestinho para Prendedor Floral;30;40;;;;;SEM CAPACIDADE
027.012.001;7896779602711;Potes;3;capacidade 2700 ml;Porta Pão Armazena e Conserva - 2,7L (027);Porta Pão Armazena e Conserva;29;40;;ATX,BPA,HIG,FCL;FCL;MASS,BISC,TEMP;
028.012.002;7896779602841;Cozinha;3;face 448 cm2;Escorredor de Arroz Tradicional - Branco;Escorredor de Arroz Tradicional;31;40;;HIG;;;SEM CAPACIDADE
028.012.003;7896779602827;Cozinha;3;face 448 cm2;Escorredor de Arroz Tradicional - Preto;Escorredor de Arroz Tradicional;31;40;;HIG;;;SEM CAPACIDADE
030.012.001;7896779607143;Potes;3;capacidade 1100 ml;Pote Monterey com 3 Divisórias - Transparente 1,1L (0307.012.001);Pote Monterey com 3 Divisórias;30;40;;BPA,TRP;;BISC,TEMP;
030.012.003;7896779603046;Potes;3;capacidade 1100 ml;Pote Monterey com 3 Divisórias - Preto 1,1L;Pote Monterey com 3 Divisórias;30;40;;;;BISC,TEMP;SEM DESCRICAO NA ORIGEM
032.012.002;7896779621248;Jarras;3;capacidade 2000 ml;Jarra com Tampa - Branco 2L;Jarra com Tampa;15;40;;HIG;;;
032.012.547;7896779603244;Jarras;3;capacidade 2000 ml;Jarra com Tampa - Vermelho 2L;Jarra com Tampa;15;40;;FCL;;;
033.012.002;7896779603329;Jarras;3;capacidade 2000 ml;Jarra com Espremedor - Branco 2L;Jarra com Espremedor;20;40;;BPA;;;
033.012.547;7896779603336;Jarras;3;capacidade 2000 ml;Jarra com Espremedor - Vermelho 2L;Jarra com Espremedor;20;40;;BPA;;;
034.012.001;7896779634149;Potes;2;capacidade 1000 ml;Pote Monaco com 3 Divisórias - Transparente 1L;Pote Monaco com 3 Divisórias;28;34;;TRP;EMP,TRP;FARI,MASS,BISC,TEMP;
034.012.003;7896779603442;Potes;2;capacidade 1000 ml;Pote Monaco com 3 Divisórias - Preto 1L;Pote Monaco com 3 Divisórias;28;34;;;EMP;FARI,MASS,BISC,TEMP;SEM DESCRICAO NA ORIGEM
039.012.002;7896779603947;Cozinha;3;face 346 cm2;Escorredor Básico com Cabo - Branco;Escorredor Básico com Cabo;26;40;;HIG;;;SEM CAPACIDADE
039.012.003;7896779603916;Cozinha;3;face 346 cm2;Escorredor Básico com Cabo - Preto;Escorredor Básico com Cabo;26;40;;HIG;;;SEM CAPACIDADE
041.012.002;7896779604142;Organização;4;categoria Organização;Organizador Multiuso Rattan com 3 Divisórias - Branco (041/B);Organizador Multiuso Rattan com 3 Divisórias;44;44;;;;;SEM CAPACIDADE
041.012.003;7896779604111;Organização;4;categoria Organização;Organizador Multiuso Rattan com 3 Divisórias - Preto (041/P);Organizador Multiuso Rattan com 3 Divisórias;44;44;;;;;SEM CAPACIDADE
041.012.086;7896779641208;Organização;4;categoria Organização;Organizador Multiuso Rattan com 3 Divisórias - Chumbo;Organizador Multiuso Rattan com 3 Divisórias;44;44;;;;;SEM CAPACIDADE
043.012.002;7896779604333;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos - Branca 1,4L (043/M);Frasqueira Medicamentos;23;44;;HIG;;;
043.012.009;7896779604388;Frasqueiras;4;categoria Frasqueiras;Frasqueira Medicamentos - Vermelha 1,4L;Frasqueira Medicamentos;23;44;;HIG;;;
044.012.005;7896779600441;Cozinha;2;face 240 cm2;Porta Filtro para Café;Porta Filtro para Café;22;34;;BPA;;;SEM CAPACIDADE
045.012.001;7896779604517;Micro-ondas;3;capacidade 1900 ml;Forma de Pudim para Micro-ondas com Tampa 1,9L (045);Forma de Pudim para Microondas com Tampa;40;40;Micro-ondas>Microondas;MIC,FCL;;;
046.012.002;7896779660100;Cozinha;2;face 194 cm2;Porta Óleo Itália - Branco;Porta Óleo Itália;17;34;;;;;SEM CAPACIDADE
046.012.003;7896779646012;Cozinha;2;face 194 cm2;Porta Óleo Itália - Preto;Porta Óleo Itália;17;34;;;;;SEM CAPACIDADE
047.012.002;7896779630479;Organização;4;categoria Organização;Cesto Organizador Vime - Branco 7L (047/B);Cesto Organizador Vime;22;44;;BPA;;;
047.012.003;7896779640478;Organização;4;categoria Organização;Cesto Organizador Vime - Preto 7L (047/P);Cesto Organizador Vime;22;44;;BPA;;;
050.012.001;7896779605019;Potes;3;capacidade 1100 ml;Pote Premier com 4 Divisórias - Transparente 1,1L;Pote Premier com 4 Divisórias;29;40;;TRP;;BISC,TEMP;DIMENSAO E DIAMETRO
050.012.003;7896779605095;Potes;3;capacidade 1100 ml;Pote Premier com 4 Divisórias - Preto 1,1L;Pote Premier com 4 Divisórias;29;40;;;;BISC,TEMP;DIMENSAO E DIAMETRO | SEM DESCRICAO NA ORIGEM
051.012.002;7896779605149;Cozinha;2;face 182 cm2;Porta Detergente 3 em 1 - Branco (051/B);Porta Detergente 3 em 1;23;34;;BPA;;;SEM CAPACIDADE
051.012.003;7896779605118;Cozinha;2;face 182 cm2;Porta Detergente 3 em 1 - Preto;Porta Detergente 3 em 1;23;34;;BPA,FCL;FCL;TEMP;SEM CAPACIDADE
051.012.086;7896779618668;Cozinha;2;face 182 cm2;Porta Detergente 3 em 1 - Chumbo (051/B);Porta Detergente 3 em 1;23;34;;BPA,HIG;HIG;;SEM CAPACIDADE
052.006.002;7896779605248;Lixeiras;3;categoria Lixeiras;Lixeira Rattan com Pedal - Branca 6L (052/B);Lixeira Rattan com Pedal;24;40;;PED,ATX,HIG,FCL;;;
052.006.003;7896779650521;Lixeiras;3;categoria Lixeiras;Lixeira Rattan com Pedal - Preta 6L (052/B);Lixeira Rattan com Pedal;24;40;;PED,HIG,FCL;;;
052.006.086;7896779605231;Lixeiras;3;categoria Lixeiras;Lixeira Rattan com Pedal - Chumbo 6L (052/B);Lixeira Rattan com Pedal;24;40;;PED,HIG,FCL;;;
053.004.002;7896779605347;Organização;4;categoria Organização;Prateleira Multi uso com 4 Andares - Branca (053/B);Prateleira Multi uso com 4 Andares;34;44;;;;;SEM CAPACIDADE
053.004.003;7896779650538;Organização;4;categoria Organização;Prateleira Multi uso com 4 Andares - Preta (053/P);Prateleira Multi uso com 4 Andares;34;44;;;;;SEM CAPACIDADE
054.004.001;7896779600540;Limpeza;3;capacidade 47000 ml;Cesto de Roupas 47L (054);Cesto de Roupas;15;40;;BPA;;;
054.004.003;7896779605422;Limpeza;3;capacidade 47000 ml;Cesto de Roupas 47L (054);Cesto de Roupas;15;40;;;;;SEM NOME EN | SEM NOME ES | SEM DESCRICAO NA ORIGEM
055.012.002;7896779655106;Cozinha;3;face 494 cm2;Escorredor Multiúso - Branco;Escorredor Multiúso;19;40;;MIC,FRZ,BPA;;;SEM CAPACIDADE
055.012.003;7896779605514;Cozinha;3;face 494 cm2;Escorredor Multiúso - Preto;Escorredor Multiúso;19;40;;MIC,FRZ,BPA;;;SEM CAPACIDADE
056.012.002;7896779605644;Cozinha;3;face 443 cm2;Escorredor Luxo com Cabo - Branco;Escorredor Luxo com Cabo;24;40;;FCL;;;SEM CAPACIDADE
056.012.003;7896779605613;Cozinha;3;face 443 cm2;Escorredor Luxo com Cabo - Preto;Escorredor Luxo com Cabo;24;40;;HIG;;;SEM CAPACIDADE
059.012.002;7896779605941;Cozinha;3;face 401 cm2;Escorredor de Pratos - Branco (059/B);Escorredor de Pratos;20;40;;BPA,FCL;;;SEM CAPACIDADE
059.012.003;7896779605910;Cozinha;3;face 401 cm2;Escorredor de Pratos - Preto (059/B);Escorredor de Pratos;20;40;;BPA,FCL;;;SEM CAPACIDADE
059.012.086;7896779659180;Cozinha;3;face 401 cm2;Escorredor de Pratos - Chumbo (059/B);Escorredor de Pratos;20;40;;BPA,FCL;;;SEM CAPACIDADE
060.012.002;7896779660216;Cozinha;2;face 162 cm2;Porta Talheres Paris com 4 Divisórias e Tampa - Branco;Porta Talher. Paris c/ 4 Div. e Tampa;37;34;"Divisórias>Div.; com>c/; Talheres>Talher.";BPA;;;SEM CAPACIDADE | NOME PT EXCEDE LIMITE (37>34)
060.012.003;7896779660919;Cozinha;2;face 162 cm2;Porta Talheres Paris com 4 Divisórias e Tampa - Preto;Porta Talher. Paris c/ 4 Div. e Tampa;37;34;"Divisórias>Div.; com>c/; Talheres>Talher.";BPA;;;SEM CAPACIDADE | NOME PT EXCEDE LIMITE (37>34)
062.012.002;7896779606245;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Branca 4L;Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
062.012.003;7896779650620;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Preta 4L;Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
062.012.086;7896779628636;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Chumbo 4L;Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
064.012.002;7896779606429;Jarras;3;capacidade 2000 ml;Jarra com Tubo para Gelo - Branco 2L;Jarra com Tubo para Gelo;24;40;;FRZ,LAV,BPA;;;
064.012.547;7896779664122;Jarras;3;capacidade 2000 ml;Jarra com Tubo para Gelo - Vermelho 2L;Jarra com Tubo para Gelo;24;40;;FRZ,LAV,BPA,HIG;;;
065.012.002;7896779660650;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Branca 2L (065/B);Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
065.012.003;7896779670659;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Preta 2L (065/P);Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
065.012.086;7896779665204;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Chumbo 2L;Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
067.012.002;7896779606764;Cozinha;2;face 192 cm2;Saleiro - Transparente e Branco;Saleiro;7;34;;TBA,BPA,HIG,FCL,TRP;TBA,HIG,FCL,TRP;;
067.012.003;7896779606726;Cozinha;2;face 192 cm2;Saleiro - Transparente e Preto;Saleiro;7;34;;TBA,BPA,HIG,FCL,TRP;TBA,HIG,FCL,TRP;;
068.012.002;7896779606849;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Branca 8L (068/B);Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
068.012.003;7896779650682;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Preta 8L (068/P);Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
068.012.086;7896779668212;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Chumbo 8L;Caixa Organizadora Rattan com Tampa;35;44;;EMP;;;
069.006.002;7896779603695;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Branca 16L (069/B);Caixa Organizadora Rattan com Tampa;35;44;;BPA;;;
069.006.003;7896779607693;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Preta 16L (069/P);Caixa Organizadora Rattan com Tampa;35;44;;EMP,HIG;;;
069.006.086;7896779606948;Organização;4;categoria Organização;Caixa Organizadora Rattan com Tampa - Chumbo 16L;Caixa Organizadora Rattan com Tampa;35;44;;;;;
070.006.002;7896779607044;Cozinha;3;face 505 cm2;Escorredor Luxo - Branco;Escorredor Luxo;15;40;;BPA;;;SEM CAPACIDADE
070.006.003;7896779607013;Cozinha;3;face 505 cm2;Escorredor Luxo - Preto;Escorredor Luxo;15;40;;BPA;;;SEM CAPACIDADE
075.024.001;7896779600755;Potes;2;capacidade 600 ml;Sanduicheira Pratic - 600ml (075);Sanduicheira Pratic;19;34;;;EMP;FARI,MASS,BISC,TEMP;
076.024.001;7896779607617;Banheiro;1;face 45 cm2;Saboneteira com Tampa - Transparente;Saboneteira com Tampa;21;28;;TRP;TRP,RCL;;SEM CAPACIDADE
076.024.066;7896779607631;Banheiro;1;face 45 cm2;Saboneteira com Tampa - Fumê;Saboneteira com Tampa;21;28;;;RCL;;SEM CAPACIDADE
077.012.002;7896779607747;Cozinha;3;face 267 cm2;Escorredor Ideal - Branco;Escorredor Ideal;16;40;;;;;SEM CAPACIDADE
077.012.003;7896779607723;Cozinha;3;face 267 cm2;Escorredor Ideal - Preto;Escorredor Ideal;16;40;;;;;SEM CAPACIDADE
078.036.001;7896779600786;Cozinha;2;face 108 cm2;Forma de Gelo Firenze (078);Forma de Gelo Firenze;21;34;;;;;SEM CAPACIDADE
079.012.002;7896779607976;Banheiro;3;face 673 cm2;Porta Shampoo e Prateleira Madri - Branco (079/B);Porta Shampoo e Prateleira Madri;32;40;;BPA,FCL;;;SEM CAPACIDADE
079.012.003;7896779607983;Banheiro;3;face 673 cm2;Porta Shampoo e Prateleira Madri - Preto (079/P);Porta Shampoo e Prateleira Madri;32;40;;BPA,HIG;;;SEM CAPACIDADE
081.012.002;7896779608164;Cozinha;3;face 513 cm2;Porta Papel Toalha - Branco;Porta Papel Toalha;18;40;;;;;SEM CAPACIDADE
081.012.003;7896779681105;Cozinha;3;face 513 cm2;Porta Papel Toalha - Preto;Porta Papel Toalha;18;40;;;;;SEM CAPACIDADE
088.012.002;7896779608843;Jarras;3;capacidade 1600 ml;Jarra Estrela com Tampa - Branco 1,6L;Jarra Estrela com Tampa;23;40;;;;;
088.012.547;7896779688159;Jarras;3;capacidade 1600 ml;Jarra Estrela com Tampa - Vermelho 1,6L;Jarra Estrela com Tampa;23;40;;;;;
090.012.002;7896779609031;Cozinha;2;face 210 cm2;Saleiro Rubi - Transparente e Branco 1 Kg;Saleiro Rubi;12;34;;BPA,FCL,TRP;FCL,TRP;;
090.012.003;7896779609055;Cozinha;2;face 210 cm2;Saleiro Rubi - Transparente e Preto 1 Kg;Saleiro Rubi;12;34;;TRP;TRP;;
091.012.002;7896779609147;Lixeiras;3;categoria Lixeiras;Lixeira Verona - Branca 4L (091/B);Lixeira Verona;14;40;;HIG;;;
091.012.003;7896779609178;Lixeiras;3;categoria Lixeiras;Lixeira Verona - Preta 4L;Lixeira Verona;14;40;;HIG;;;
092.012.002;7896779609215;Banheiro;2;face 102 cm2;Saboneteira de Parede com Ventosa - Branco;Saboneteira de Parede com Ventosa;33;34;;;;;SEM CAPACIDADE
092.012.003;7896779609222;Banheiro;2;face 102 cm2;Saboneteira de Parede com Ventosa - Preto;Saboneteira de Parede com Ventosa;33;34;;;;;SEM CAPACIDADE
093.012.002;7896779609345;Organização;4;categoria Organização;Cestinho Versátil - Branco 4,2L (093/B);Cestinho Versátil;17;44;;HIG;;;
093.012.003;7896779609314;Organização;4;categoria Organização;Cestinho Versátil - Preto 4,2L (093/P);Cestinho Versátil;17;44;;HIG;;;
094.012.002;7896779609420;Cozinha;1;capacidade 350 ml;Açucareiro Doçura - Branco;Açucareiro Doçura;17;28;;;LAV;TEMP;
094.012.003;7896779609444;Cozinha;1;capacidade 350 ml;Açucareiro Doçura - Preto;Açucareiro Doçura;17;28;;;LAV;TEMP;
095.012.002;7896779609574;Banheiro;3;face 830 cm2;Cantoneira para Banheiro Premium - Branco (095/B);Cantoneira para Banheiro Premium;32;40;;ATX,HIG;;;SEM CAPACIDADE
095.012.003;7896779609512;Banheiro;3;face 830 cm2;Cantoneira para Banheiro Premium- Preto (095/P);Cantoneira para Banheiro Premium;32;40;;;;;SEM CAPACIDADE
096.012.002;7896779609642;Cozinha;3;face 330 cm2;Escorredor de Pratos Rattan - Branco (096/B);Escorredor de Pratos Rattan;27;40;;FCL;;;SEM CAPACIDADE
096.012.003;7896779610969;Cozinha;3;face 330 cm2;Escorredor de Pratos Rattan - Preto (096/P);Escorredor de Pratos Rattan;27;40;;;;;SEM CAPACIDADE
096.012.086;7896779696208;Cozinha;3;face 330 cm2;Escorredor de Pratos Rattan - Chumbo (096/B);Escorredor de Pratos Rattan;27;40;;;;;SEM CAPACIDADE
097.012.001;7896779600977;Organização;4;categoria Organização;Caixa Organizadora Nitronbox - Transparente 10L;Caixa Organizadora Nitronbox;28;44;;TRP;;;
098.012.999;7896779609840;Limpeza;3;capacidade 8000 ml;Balde Limpex - Sortido 8L;Balde Limpex;12;40;;;;;SEM NOME EN | SEM NOME ES | SEM DESCRICAO NA ORIGEM
100.006.002;7896779610075;Lixeiras;3;categoria Lixeiras;Lixeira com Pedal - Branca 7L (100/B);Lixeira com Pedal;17;40;;PED,RCL,HIG;;;
100.006.003;7896779600328;Lixeiras;3;categoria Lixeiras;Lixeira com Pedal - Preta 7L;Lixeira com Pedal;17;40;;PED,RCL,HIG;;;
103.024.003;7896779610310;Potes;2;capacidade 780 ml;Marmibox com Divisória para Talheres - Preto 780ml;Marmibox com Div. para Talheres;31;34;Divisória>Div.;MIC,FRZ,HER;FRZ,HER,LAV,EMP;FARI,MASS,BISC,TEMP;
105.024.003;7896779610518;Potes;2;capacidade 800 ml;Marmita Bom Apetite com Bandeija e Válvula - Preto 800ml;Marmita Bom Apetite c/ Bandeija e Válvula;41;34;com>c/;VLV;LAV,EMP;CAFE,ACUC,FARI,MASS,BISC,TEMP;NOME PT EXCEDE LIMITE (41>34)
106.012.001;7896779601066;Organização;4;categoria Organização;Organiza Tudo com 16 Divisórias (106);Organiza Tudo com 16 Divisórias;31;44;;;;;SEM CAPACIDADE
109.012.001;7896779601097;Organização;4;categoria Organização;Caixa Organizadora Nitronbox - Transparente 6L;Caixa Organizadora Nitronbox;28;44;;TRP;;;
110.006.001;7896779601103;Organização;4;categoria Organização;Caixa Organizadora Nitronbox - Transparente 20L;Caixa Organizadora Nitronbox;28;44;;TRP;;;
111.012.002;7896779611270;Jarras;2;capacidade 510 ml;Espremedor Portátil Fit - Branco 510ml;Espremedor Portátil Fit;23;34;;;;;
111.012.549;7896779611133;Jarras;2;capacidade 510 ml;Espremedor Portátil Fit - Vermelho 510ml;Espremedor Portátil Fit;23;34;;;;;
112.012.002;7896779612208;Jarras;2;capacidade 500 ml;Copo Medidor com Tampa - Branco 500ml;Copo Medidor com Tampa;22;34;;;;;
112.012.547;7896779612147;Jarras;2;capacidade 500 ml;Copo Medidor com Tampa - Vermelho 500ml;Copo Medidor com Tampa;22;34;;;;;
113.012.002;7896779611362;Limpeza;2;face 161 cm2;Tanquinho Porta Sabão em Barra - Branco;Tanquinho Porta Sabão em Barra;30;34;;HIG;RCL;;SEM CAPACIDADE
113.012.003;7896779613106;Limpeza;2;face 161 cm2;Tanquinho Porta Sabão em Barra - Preto;Tanquinho Porta Sabão em Barra;30;34;;BPA;RCL;;SEM CAPACIDADE
114.012.002;7896779611447;Jarras;2;capacidade 500 ml;Jarrinha com Espremedor - Branco 500ml;Jarrinha com Espremedor;23;34;;;;;
114.012.547;7896779611416;Jarras;2;capacidade 500 ml;Jarrinha com Espremedor - Vermelho 500ml;Jarrinha com Espremedor;23;34;;;;;
116.012.002;7896779611645;Cozinha;2;face 150 cm2;Porta Detergente com Telinha - Branco (116/B);Porta Detergente com Telinha;28;34;;BPA,HIG;HIG;;SEM CAPACIDADE
116.012.003;7896779611676;Cozinha;2;face 150 cm2;Porta Detergente com Telinha - Preto;Porta Detergente com Telinha;28;34;;BPA,FCL;FCL;;SEM CAPACIDADE
116.012.086;7896779668663;Cozinha;2;face 150 cm2;Porta Detergente com Telinha - Chumbo (116/B);Porta Detergente com Telinha;28;34;;BPA,HIG;HIG;;SEM CAPACIDADE
117.012.002;7896779601172;Cozinha;1;face 20 cm2;Tábua Extra Grande - Branca (117);Tábua Extra Grande;18;28;;;LAV;;SEM CAPACIDADE | SEM DESCRICAO NA ORIGEM
120.006.001;7896779612086;Frasqueiras;4;categoria Frasqueiras;Frasqueira com Bandeja - Rosa 2,8L;Frasqueira com Bandeja;22;44;;;;;SEM DESCRICAO NA ORIGEM
120.006.012;7896779612024;Frasqueiras;4;categoria Frasqueiras;Frasqueira com Bandeja - Rosa 2,8L;Frasqueira com Bandeja;22;44;;;;;
121.012.002;7896779621057;Cozinha;3;face 373 cm2;Escorredor de Arroz Caribe - Branco;Escorredor de Arroz Caribe;26;40;;HIG;;;SEM CAPACIDADE
121.012.003;7896779610068;Cozinha;3;face 373 cm2;Escorredor de Arroz Caribe - Preto;Escorredor de Arroz Caribe;26;40;;HIG;;;SEM CAPACIDADE
122.012.002;7896779626618;Banheiro;2;face 232 cm2;Porta Escovas com Tampa - Branco;Porta Escovas com Tampa;23;34;;;;;SEM CAPACIDADE
122.012.003;7896779622726;Banheiro;2;face 232 cm2;Porta Escovas com Tampa - Preto;Porta Escovas com Tampa;23;34;;BPA,HIG;RCL;;SEM CAPACIDADE
122.012.066;7896779626625;Banheiro;2;face 232 cm2;Porta Escovas com Tampa - Fumê;Porta Escovas com Tampa;23;34;;;;;SEM CAPACIDADE
123.012.027;7896779612338;Organização;4;categoria Organização;Caixa de Ferramentas Nitronfort - Amarela 2,2L;Caixa de Ferramentas Nitronfort;31;44;;;;;
123.012.028;7896779612345;Organização;4;categoria Organização;Caixa de Ferramentas Nitronfort - Laranja 2,2L;Caixa de Ferramentas Nitronfort;31;44;;;;;
123.012.045;7896779612314;Organização;4;categoria Organização;Caixa de Ferramentas Nitronfort - Azul 2,2L;Caixa de Ferramentas Nitronfort;31;44;;;;;
124.012.003;7896779612451;Potes;2;capacidade 780 ml;Kit Marmita com Talheres - Preto 780ml;Kit Marmita com Talheres;24;34;;;EMP;ACUC,FARI,MASS,BISC,TEMP;
125.012.001;7896779601257;Organização;4;categoria Organização;Caixa Organizadora Nitronbox - Transparente 4,3L;Caixa Organizadora Nitronbox;28;44;;TRP;;;
126.006.001;7896779612697;Frasqueiras;4;categoria Frasqueiras;Frasqueira com Bandeja - Rosa 6,2L;Frasqueira com Bandeja;22;44;;;;;SEM DESCRICAO NA ORIGEM
126.006.619;7896779612635;Frasqueiras;4;categoria Frasqueiras;Frasqueira com Bandeja - Rosa 6,2L;Frasqueira com Bandeja;22;44;;;;;
128.012.002;7896779612826;Limpeza;3;face 264 cm2;Cestinho para Prendedor - Branco;Cestinho para Prendedor;23;40;;;;;SEM CAPACIDADE
128.012.003;7896779612833;Limpeza;3;face 264 cm2;Cestinho para Prendedor - Preto;Cestinho para Prendedor;23;40;;;;;SEM CAPACIDADE
