parede_de_origem,ambiente,referencia,nome,categoria,motivo,frente_mm,profundidade_min_mm,altura_mm,faturamento_12m
norte,ORGANIZACAO,261.006.003,Caixa Organizadora Baixa Rattan com Tampa,ORGANIZACAO,profundidade 500 > 372,280,500,83,160286.75
norte,ORGANIZACAO,110.006.001,Nitronbox 20L (110),ORGANIZACAO,profundidade 500 > 372,293,500,256,127135.56
norte,ORGANIZACAO,261.006.002,Caixa Organizadora Baixa Rattan com Tampa,ORGANIZACAO,profundidade 500 > 372,280,500,83,127006.06
norte,ORGANIZACAO,270.006.003,Cesto Europa Juta,ORGANIZACAO,profundidade 500 > 372,280,500,222,118525.93
norte,ORGANIZACAO,053.004.002,4 Andares,ORGANIZACAO,profundidade 500 > 372,300,500,705,115762.35
norte,ORGANIZACAO,164.006.001,Maleta Organiza Tudo c/Divis. Móveis,ORGANIZACAO,profundidade 500 > 372,296,500,50,103051.26
norte,ORGANIZACAO,170.006.045,Caixa de Ferramentas Nitronfort 16L,ORGANIZACAO,profundidade 500 > 372,223,500,183,101848.1
norte,ORGANIZACAO,170.006.027,Caixa de Ferramentas Nitronfort 16L,ORGANIZACAO,profundidade 500 > 372,223,500,183,89746.77
norte,ORGANIZACAO,069.006.086,Rattan com Tampa,ORGANIZACAO,profundidade 500 > 372,280,500,190,73820.36
norte,ORGANIZACAO,270.006.002,Cesto Europa Juta,ORGANIZACAO,profundidade 500 > 372,280,500,222,73256.65
norte,ORGANIZACAO,010.012.001,Transparente,ORGANIZACAO,profundidade 500 > 372,7,500,200,40415.81
norte,ORGANIZACAO,167.012.001,3 Peças - Transparente,ORGANIZACAO,profundidade 500 > 372,7,500,195,25033.42
norte,ORGANIZACAO,261.006.086,Caixa Organizadora Baixa Rattan com Tampa,ORGANIZACAO,profundidade 500 > 372,280,500,83,15747.42
norte,ORGANIZACAO,010.001.003,Caixa Expositora Com 40 Kits Com 10 Cabides - Preto,ORGANIZACAO,profundidade 500 > 372,7,500,200,6239.65
norte,ORGANIZACAO,167.010.003,10 Peças - Preto,ORGANIZACAO,profundidade 500 > 372,7,500,195,4253.5
norte,ORGANIZACAO,010.010.003,10 Peças - Preto,ORGANIZACAO,profundidade 500 > 372,7,500,200,3481.0
