modulo,area,prateleira,altura_face_mm,zona,vao_livre_mm,facing,facings_na_prateleira,ordem,referencia,nome,ambiente,categoria,frente_mm,profundidade_min_mm,altura_mm,faturamento_12m,clientes
1,Paredão sul,6,1409,olhos,247,1,2,3,3790.006.P01,Kit POP - 6 Potes Quadrados,COZINHA,POP,113,285,58,2225.98,16
1,Paredão sul,7,1671,olhos,222,1,1,1,6120.006.P01,Kit POP - 6 Potes Retangulares,COZINHA,POP,112,285,78,9045.18,23
1,Paredão sul,7,1671,olhos,222,1,1,2,319.006.P01,Kit POP - 6 Potes Quadrados,COZINHA,POP,78,285,69,5268.0,20
1,Paredão sul,7,1671,olhos,222,1,1,3,317.006.P01,Kit POP com 5 Marmitas Fits,COZINHA,POP,100,285,62,4937.94,14
1,Paredão sul,7,1671,olhos,222,1,1,4,231.006.P01,Kit POP - 6 Potes com Travas,COZINHA,POP,100,285,40,4649.29,20
1,Paredão sul,7,1671,olhos,222,1,1,5,205.006.P01,Kit POP - 6 Potes Fits,COZINHA,POP,78,285,207,3756.9,17
1,Paredão sul,7,1671,olhos,222,1,1,6,555.006.P01,Kit POP - 6 Potes Tampas Fixa,COZINHA,POP,105,285,65,3417.42,17
2,Paredão sul,1,100,chao,247,3,1,1,705.006.001,Organziador de Geladeira Juta,COZINHA,GELADEIRA,132,285,118,65296.42,382
2,Paredão sul,1,100,chao,247,3,1,2,703.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,195,285,104,64018.19,389
2,Paredão sul,1,100,chao,247,3,1,3,701.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,220,372,82,54377.4,361
2,Paredão sul,2,362,chao,247,3,1,1,705.006.001,Organziador de Geladeira Juta,COZINHA,GELADEIRA,132,285,118,65296.42,382
2,Paredão sul,2,362,chao,247,3,1,2,703.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,195,285,104,64018.19,389
2,Paredão sul,2,362,chao,247,3,1,3,701.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,220,372,82,54377.4,361
2,Paredão sul,3,624,chao,247,3,1,1,705.006.001,Organziador de Geladeira Juta,COZINHA,GELADEIRA,132,285,118,65296.42,382
2,Paredão sul,3,624,chao,247,3,1,2,703.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,195,285,104,64018.19,389
2,Paredão sul,3,624,chao,247,3,1,3,701.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,220,372,82,54377.4,361
2,Paredão sul,4,886,maos,247,3,1,1,705.006.001,Organziador de Geladeira Juta,COZINHA,GELADEIRA,132,285,118,65296.42,382
2,Paredão sul,4,886,maos,247,3,1,2,703.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,195,285,104,64018.19,389
2,Paredão sul,4,886,maos,247,3,1,3,701.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,220,372,82,54377.4,361
2,Paredão sul,5,1148,maos,247,3,1,1,705.006.001,Organziador de Geladeira Juta,COZINHA,GELADEIRA,132,285,118,65296.42,382
2,Paredão sul,5,1148,maos,247,3,1,2,703.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,195,285,104,64018.19,389
2,Paredão sul,5,1148,maos,247,3,1,3,701.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,220,372,82,54377.4,361
2,Paredão sul,6,1409,olhos,247,1,1,1,706.006.001,Organziador de Geladeira Juta,COZINHA,GELADEIRA,100,285,87,43999.05,333
2,Paredão sul,6,1409,olhos,247,1,1,2,702.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,195,285,82,36026.24,332
2,Paredão sul,6,1409,olhos,247,1,1,3,713.012.001,Organizador de Geladeira Flat,COZINHA,GELADEIRA,175,285,107,16532.98,132
2,Paredão sul,6,1409,olhos,247,1,1,4,712.012.001,Organizador de Geladeira Flat,COZINHA,GELADEIRA,115,285,108,14333.64,132
2,Paredão sul,7,1671,olhos,222,1,1,1,705.006.001,Organziador de Geladeira Juta,COZINHA,GELADEIRA,132,285,118,65296.42,382
2,Paredão sul,7,1671,olhos,222,1,1,2,703.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,195,285,104,64018.19,389
2,Paredão sul,7,1671,olhos,222,1,1,3,701.006.001,Organizador de Geladeira Rattan,COZINHA,GELADEIRA,220,372,82,54377.4,361
3,Paredão sul,1,100,chao,247,3,1,1,135.024.001,Tampa para Micro-ondas,COZINHA,MICRO-ONDAS,255,285,68,355308.6,1044
3,Paredão sul,1,100,chao,247,3,1,2,149.024.001,Micro-ondas,COZINHA,MICRO-ONDAS,220,285,152,322251.72,670
3,Paredão sul,1,100,chao,247,3,1,3,146.024.001,Forma de Ovos e Omeleteira Micro-ondas,COZINHA,MICRO-ONDAS,150,285,60,253547.82,644
3,Paredão sul,2,362,chao,247,3,1,1,135.024.001,Tampa para Micro-ondas,COZINHA,MICRO-ONDAS,255,285,68,355308.6,1044
3,Paredão sul,2,362,chao,247,3,1,2,149.024.001,Micro-ondas,COZINHA,MICRO-ONDAS,220,285,152,322251.72,670
3,Paredão sul,2,362,chao,247,3,1,3,146.024.001,Forma de Ovos e Omeleteira Micro-ondas,COZINHA,MICRO-ONDAS,150,285,60,253547.82,644
3,Paredão sul,3,624,chao,247,3,1,1,135.024.001,Tampa para Micro-ondas,COZINHA,MICRO-ONDAS,255,285,68,355308.6,1044
3,Paredão sul,3,624,chao,247,3,1,2,149.024.001,Micro-ondas,COZINHA,MICRO-ONDAS,220,285,152,322251.72,670
3,Paredão sul,3,624,chao,247,3,1,3,146.024.001,Forma de Ovos e Omeleteira Micro-ondas,COZINHA,MICRO-ONDAS,150,285,60,253547.82,644
3,Paredão sul,4,886,maos,247,1,2,1,251.012.001,Caçarola Mini Micro-ondas,COZINHA,MICRO-ONDAS,140,285,90,46875.42,345
3,Paredão sul,4,886,maos,247,1,1,2,250.024.009,"Cacarola Micro-Ondas Com Cesto - Transparente 1,5L (250)",COZINHA,MICRO-ONDAS,175,285,100,24025.58,91
3,Paredão sul,4,886,maos,247,1,1,3,136.024.001,Travessa Micro-ondas c/Tampa,COZINHA,MICRO-ONDAS,208,372,92,23946.37,107
3,Paredão sul,5,1148,maos,247,1,1,1,229.012.001,Cook Freezer com Cesto,COZINHA,MICRO-ONDAS,237,285,102,98439.49,254
3,Paredão sul,5,1148,maos,247,1,1,2,045.012.001,Micro-ondas com Tampa,COZINHA,MICRO-ONDAS,237,285,100,73024.85,281
3,Paredão sul,5,1148,maos,247,1,1,3,020.024.001,Micro-ondas com Tampa,COZINHA,MICRO-ONDAS,235,285,70,72721.12,1342
3,Paredão sul,6,1409,olhos,247,1,1,1,240.024.001,Cook Freezer Micro-ondas,COZINHA,MICRO-ONDAS,237,285,102,190420.59,280
3,Paredão sul,6,1409,olhos,247,1,1,2,178.024.001,Caçarola Micro-ondas,COZINHA,MICRO-ONDAS,175,285,100,156472.99,440
3,Paredão sul,6,1409,olhos,247,1,1,3,194.012.009,Micro-ondas com Cesto,COZINHA,MICRO-ONDAS,220,285,152,124068.22,355
3,Paredão sul,7,1671,olhos,222,1,1,1,135.024.001,Tampa para Micro-ondas,COZINHA,MICRO-ONDAS,255,285,68,355308.6,1044
3,Paredão sul,7,1671,olhos,222,1,1,2,149.024.001,Micro-ondas,COZINHA,MICRO-ONDAS,220,285,152,322251.72,670
3,Paredão sul,7,1671,olhos,222,1,1,3,146.024.001,Forma de Ovos e Omeleteira Micro-ondas,COZINHA,MICRO-ONDAS,150,285,60,253547.82,644
4,Paredão sul,1,100,chao,247,3,1,1,255.036.016,Firenze com Tampa,COZINHA,JARRAS,119,372,39,594517.32,826
4,Paredão sul,1,100,chao,247,3,1,2,153.012.546,Jarra com Tampa Flip Top,COZINHA,JARRAS,100,285,215,319913.49,868
4,Paredão sul,1,100,chao,247,3,1,3,153.012.002,Jarra com Tampa Flip Top,COZINHA,JARRAS,100,285,215,191484.03,715
4,Paredão sul,1,100,chao,247,3,1,4,032.012.547,Jarra com Tampa,COZINHA,JARRAS,145,285,199,304681.58,849
4,Paredão sul,1,100,chao,247,3,1,5,032.012.002,Jarra com Tampa,COZINHA,JARRAS,145,285,199,140806.36,681
4,Paredão sul,1,100,chao,247,3,1,6,078.036.001,Forma De Gelo Firenze (078),COZINHA,JARRAS,107,285,38,153793.64,552
4,Paredão sul,2,362,chao,247,3,1,1,255.036.016,Firenze com Tampa,COZINHA,JARRAS,119,372,39,594517.32,826
4,Paredão sul,2,362,chao,247,3,1,2,153.012.546,Jarra com Tampa Flip Top,COZINHA,JARRAS,100,285,215,319913.49,868
4,Paredão sul,2,362,chao,247,3,1,3,153.012.002,Jarra com Tampa Flip Top,COZINHA,JARRAS,100,285,215,191484.03,715
4,Paredão sul,2,362,chao,247,3,1,4,032.012.547,Jarra com Tampa,COZINHA,JARRAS,145,285,199,304681.58,849
4,Paredão sul,2,362,chao,247,3,1,5,032.012.002,Jarra com Tampa,COZINHA,JARRAS,145,285,199,140806.36,681
4,Paredão sul,2,362,chao,247,3,1,6,078.036.001,Forma De Gelo Firenze (078),COZINHA,JARRAS,107,285,38,153793.64,552
4,Paredão sul,3,624,chao,247,1,4,1,112.012.547,Jarra Medidora Top Mix,COZINHA,JARRAS,85,285,160,24092.6,197
4,Paredão sul,3,624,chao,247,1,4,2,112.012.002,Jarra Medidora Top Mix,COZINHA,JARRAS,85,285,160,19837.11,180
4,Paredão sul,4,886,maos,247,1,2,1,207.024.001,Jarra Medidora Top Mix,COZINHA,JARRAS,99,285,177,63572.11,361
4,Paredão sul,4,886,maos,247,1,1,2,207.012.547,Jarra Medidora Top Mix,COZINHA,JARRAS,99,285,177,11127.59,114
4,Paredão sul,4,886,maos,247,1,1,3,207.012.002,Jarra Medidora Top Mix,COZINHA,JARRAS,99,285,177,5847.32,70
4,Paredão sul,4,886,maos,247,1,1,4,088.012.547,Jarra com Tampa,COZINHA,JARRAS,130,285,174,45238.89,303
4,Paredão sul,4,886,maos,247,1,1,5,088.012.002,Jarra com Tampa,COZINHA,JARRAS,130,285,174,19934.76,193
4,Paredão sul,5,1148,maos,247,1,2,1,033.012.547,Jarra com Espremedor,COZINHA,JARRAS,145,285,218,133967.58,464
4,Paredão sul,5,1148,maos,247,1,1,2,033.012.002,Jarra com Espremedor,COZINHA,JARRAS,145,285,218,51657.43,298
4,Paredão sul,5,1148,maos,247,1,1,3,064.012.547,Jarra com Tubo para Gelo,COZINHA,JARRAS,145,285,199,78084.59,190
4,Paredão sul,5,1148,maos,247,1,1,4,064.012.002,Jarra com Tubo para Gelo,COZINHA,JARRAS,145,285,199,37953.53,191
4,Paredão sul,6,1409,olhos,247,1,1,1,111.012.549,Espremedor Portátil Fit,COZINHA,JARRAS,95,285,167,186127.74,615
4,Paredão sul,6,1409,olhos,247,1,1,2,111.012.002,Espremedor Portátil Fit,COZINHA,JARRAS,95,285,167,59739.31,337
4,Paredão sul,6,1409,olhos,247,1,1,3,114.012.547,Espremedor Portátil Fit,COZINHA,JARRAS,132,285,110,143892.79,641
4,Paredão sul,6,1409,olhos,247,1,1,4,114.012.002,Jarrinhs com Espremedor,COZINHA,JARRAS,132,285,110,50664.54,524
4,Paredão sul,6,1409,olhos,247,1,1,5,222.012.546,Jarra com Tampa Flip Top,COZINHA,JARRAS,100,285,155,97949.86,505
4,Paredão sul,6,1409,olhos,247,1,1,6,222.012.002,Jarra com Tampa Flip Top,COZINHA,JARRAS,100,285,155,43555.84,342
4,Paredão sul,7,1671,olhos,222,1,1,1,255.036.016,Firenze com Tampa,COZINHA,JARRAS,119,372,39,594517.32,826
4,Paredão sul,7,1671,olhos,222,1,1,2,153.012.546,Jarra com Tampa Flip Top,COZINHA,JARRAS,100,285,215,319913.49,868
4,Paredão sul,7,1671,olhos,222,1,1,3,153.012.002,Jarra com Tampa Flip Top,COZINHA,JARRAS,100,285,215,191484.03,715
4,Paredão sul,7,1671,olhos,222,1,1,4,032.012.547,Jarra com Tampa,COZINHA,JARRAS,145,285,199,304681.58,849
4,Paredão sul,7,1671,olhos,222,1,1,5,032.012.002,Jarra com Tampa,COZINHA,JARRAS,145,285,199,140806.36,681
4,Paredão sul,7,1671,olhos,222,1,1,6,078.036.001,Forma De Gelo Firenze (078),COZINHA,JARRAS,107,285,38,153793.64,552
5,Paredão sul,1,100,chao,247,3,1,1,144.006.003,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,290,372,50,434598.16,1138
5,Paredão sul,1,100,chao,247,3,1,2,144.006.002,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,290,372,50,407369.62,1048
5,Paredão sul,1,100,chao,247,3,1,3,4030.012.003,Porta Farofa com Tampa,COZINHA,COZINHA,79,285,159,269314.02,1509
5,Paredão sul,2,362,chao,247,3,1,1,144.006.003,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,290,372,50,434598.16,1138
5,Paredão sul,2,362,chao,247,3,1,2,144.006.002,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,290,372,50,407369.62,1048
5,Paredão sul,2,362,chao,247,3,1,3,4030.012.003,Porta Farofa com Tampa,COZINHA,COZINHA,79,285,159,269314.02,1509
5,Paredão sul,3,624,chao,247,3,1,1,144.006.003,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,290,372,50,434598.16,1138
5,Paredão sul,3,624,chao,247,3,1,2,144.006.002,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,290,372,50,407369.62,1048
5,Paredão sul,3,624,chao,247,3,1,3,4030.012.003,Porta Farofa com Tampa,COZINHA,COZINHA,79,285,159,269314.02,1509
5,Paredão sul,4,886,maos,247,1,1,1,188.012.003,Super Prático,COZINHA,COZINHA,267,372,108,33554.56,217
5,Paredão sul,4,886,maos,247,1,1,2,188.012.002,Super Prático,COZINHA,COZINHA,265,372,105,19552.42,125
5,Paredão sul,4,886,maos,247,1,1,3,094.012.003,Açucareiro Doçura,COZINHA,COZINHA,90,285,94,17774.27,348
5,Paredão sul,4,886,maos,247,1,1,4,094.012.002,Açucareiro Doçura,COZINHA,COZINHA,90,285,94,17357.87,283
5,Paredão sul,5,1148,maos,247,1,1,1,090.012.003,Açucareiro Doçura,COZINHA,COZINHA,110,285,132,117361.91,761
5,Paredão sul,5,1148,maos,247,1,1,2,090.012.002,Saleiro Rubi,COZINHA,COZINHA,110,285,132,89756.36,546
5,Paredão sul,5,1148,maos,247,1,1,3,077.012.003,Escorredor Ideal,COZINHA,COZINHA,240,285,100,104979.63,818
5,Paredão sul,5,1148,maos,247,1,1,4,077.012.002,Escorredor Ideal,COZINHA,COZINHA,240,285,100,94377.4,620
5,Paredão sul,6,1409,olhos,247,1,1,1,224.012.003,Porta Talher Escorre e Guarda,COZINHA,COZINHA,95,285,240,288745.52,848
5,Paredão sul,6,1409,olhos,247,1,1,2,224.012.002,Porta Talher Escorre e Guarda,COZINHA,COZINHA,95,285,240,123104.88,565
5,Paredão sul,6,1409,olhos,247,1,1,3,224.012.086,Porta Talher Escorre e Guarda,COZINHA,COZINHA,95,285,240,67987.2,256
5,Paredão sul,6,1409,olhos,247,1,1,4,116.012.003,Porta Detergente Com Telinha - Preto (116/P),COZINHA,COZINHA,105,285,65,162300.53,897
5,Paredão sul,6,1409,olhos,247,1,1,5,116.012.002,Porta Detergente Com Telinha - Branco (116/B),COZINHA,COZINHA,105,285,65,83941.86,636
5,Paredão sul,6,1409,olhos,247,1,1,6,116.012.086,Porta Detergente Com Telinha - Chumbo,COZINHA,COZINHA,105,285,65,21816.46,245
5,Paredão sul,6,1409,olhos,247,1,1,7,023.030.002,Ralador com 4 Faces,COZINHA,COZINHA,104,285,192,182716.25,349
5,Paredão sul,7,1671,olhos,222,1,1,1,144.006.003,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,290,372,50,434598.16,1138
5,Paredão sul,7,1671,olhos,222,1,1,2,144.006.002,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,290,372,50,407369.62,1048
5,Paredão sul,7,1671,olhos,222,1,1,3,4030.012.003,Porta Farofa com Tampa,COZINHA,COZINHA,79,285,159,269314.02,1509
6,Paredão sul,1,100,chao,247,3,1,1,133.012.003,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,522953.07,1380
6,Paredão sul,1,100,chao,247,3,1,2,133.012.002,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,174333.14,835
6,Paredão sul,1,100,chao,247,3,1,3,133.012.086,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,89583.68,493
6,Paredão sul,1,100,chao,247,3,1,4,046.012.003,Porta Óleo Itália,COZINHA,COZINHA,88,285,162,438457.13,1746
6,Paredão sul,1,100,chao,247,3,1,5,046.012.002,Porta Óleo Itália,COZINHA,COZINHA,88,285,162,173136.58,1038
6,Paredão sul,1,100,chao,247,3,1,6,179.024.001,Porta Frios com Pinça,COZINHA,COZINHA,175,285,53,498382.64,775
6,Paredão sul,2,362,chao,247,3,1,1,133.012.003,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,522953.07,1380
6,Paredão sul,2,362,chao,247,3,1,2,133.012.002,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,174333.14,835
6,Paredão sul,2,362,chao,247,3,1,3,133.012.086,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,89583.68,493
6,Paredão sul,2,362,chao,247,3,1,4,046.012.003,Porta Óleo Itália,COZINHA,COZINHA,88,285,162,438457.13,1746
6,Paredão sul,2,362,chao,247,3,1,5,046.012.002,Porta Óleo Itália,COZINHA,COZINHA,88,285,162,173136.58,1038
6,Paredão sul,2,362,chao,247,3,1,6,179.024.001,Porta Frios com Pinça,COZINHA,COZINHA,175,285,53,498382.64,775
6,Paredão sul,3,624,chao,247,3,1,1,133.012.003,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,522953.07,1380
6,Paredão sul,3,624,chao,247,3,1,2,133.012.002,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,174333.14,835
6,Paredão sul,3,624,chao,247,3,1,3,133.012.086,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,89583.68,493
6,Paredão sul,3,624,chao,247,3,1,4,046.012.003,Porta Óleo Itália,COZINHA,COZINHA,88,285,162,438457.13,1746
6,Paredão sul,3,624,chao,247,3,1,5,046.012.002,Porta Óleo Itália,COZINHA,COZINHA,88,285,162,173136.58,1038
6,Paredão sul,3,624,chao,247,3,1,6,179.024.001,Porta Frios com Pinça,COZINHA,COZINHA,175,285,53,498382.64,775
6,Paredão sul,4,886,maos,247,1,1,1,015.012.003,Ralador Pratic com Pote,COZINHA,COZINHA,115,285,54,28124.98,249
6,Paredão sul,4,886,maos,247,1,1,2,015.012.002,Ralador Pratic Com Pote - Branco 420Ml,COZINHA,COZINHA,115,285,54,18538.47,160
6,Paredão sul,4,886,maos,247,1,1,3,427.024.003,Escorredor Quadrado,COZINHA,COZINHA,242,285,110,21523.56,51
6,Paredão sul,4,886,maos,247,1,1,4,427.024.002,Escorredor Quadrado,COZINHA,COZINHA,242,285,110,12087.99,55
6,Paredão sul,5,1148,maos,247,1,1,1,553.012.003,Porta Sabonete Líquido Flat,COZINHA,COZINHA,79,285,160,102701.29,601
6,Paredão sul,5,1148,maos,247,1,1,2,553.012.002,Porta Sabonete Líquido Flat,COZINHA,COZINHA,79,285,160,65988.77,451
6,Paredão sul,5,1148,maos,247,1,1,3,553.012.086,Porta Sabonete Líquido Flat,COZINHA,COZINHA,79,285,160,28412.71,246
6,Paredão sul,5,1148,maos,247,1,1,4,028.012.003,Escorredor de Arroz Tradicional,COZINHA,COZINHA,220,285,160,100491.69,944
6,Paredão sul,5,1148,maos,247,1,1,5,028.012.002,Escorredor de Arroz Tradicional,COZINHA,COZINHA,220,285,160,84637.74,580
6,Paredão sul,6,1409,olhos,247,1,1,1,070.006.003,Escorredor Luxo,COZINHA,COZINHA,278,372,145,144426.93,847
6,Paredão sul,6,1409,olhos,247,1,1,2,070.006.002,Escorredor Luxo,COZINHA,COZINHA,278,372,145,126866.3,683
6,Paredão sul,6,1409,olhos,247,1,1,3,306.006.520,"Travessa Oval Canelada Com Tampa - Branca 1,2L",COZINHA,COZINHA,145,285,73,123991.77,476
6,Paredão sul,7,1671,olhos,222,1,1,1,133.012.003,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,522953.07,1380
6,Paredão sul,7,1671,olhos,222,1,1,2,133.012.002,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,174333.14,835
6,Paredão sul,7,1671,olhos,222,1,1,3,133.012.086,Porta Detergente Rattan com Base,COZINHA,COZINHA,105,285,70,89583.68,493
6,Paredão sul,7,1671,olhos,222,1,1,4,046.012.003,Porta Óleo Itália,COZINHA,COZINHA,88,285,162,438457.13,1746
6,Paredão sul,7,1671,olhos,222,1,1,5,046.012.002,Porta Óleo Itália,COZINHA,COZINHA,88,285,162,173136.58,1038
6,Paredão sul,7,1671,olhos,222,1,1,6,179.024.001,Porta Frios com Pinça,COZINHA,COZINHA,175,285,53,498382.64,775
7,Paredão sul,1,100,chao,247,3,1,1,060.012.003,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,COZINHA,210,372,50,318592.55,1054
7,Paredão sul,1,100,chao,247,3,1,2,060.012.002,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,COZINHA,210,372,50,250288.25,1026
7,Paredão sul,1,100,chao,247,3,1,3,920.004.003,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,86,285,163,320244.62,818
7,Paredão sul,1,100,chao,247,3,1,4,920.004.002,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,86,285,163,115282.55,509
7,Paredão sul,1,100,chao,247,3,1,5,920.004.086,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,86,285,163,109006.56,422
7,Paredão sul,2,362,chao,247,3,1,1,060.012.003,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,COZINHA,210,372,50,318592.55,1054
7,Paredão sul,2,362,chao,247,3,1,2,060.012.002,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,COZINHA,210,372,50,250288.25,1026
7,Paredão sul,2,362,chao,247,3,1,3,920.004.003,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,86,285,163,320244.62,818
7,Paredão sul,2,362,chao,247,3,1,4,920.004.002,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,86,285,163,115282.55,509
7,Paredão sul,2,362,chao,247,3,1,5,920.004.086,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,86,285,163,109006.56,422
7,Paredão sul,3,624,chao,247,3,1,1,060.012.003,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,COZINHA,210,372,50,318592.55,1054
7,Paredão sul,3,624,chao,247,3,1,2,060.012.002,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,COZINHA,210,372,50,250288.25,1026
