parede,modulo,prateleira,altura_face_mm,zona,vao_livre_mm,ordem,referencia,nome,categoria,frente_mm,profundidade_min_mm,altura_mm,faturamento_12m,clientes
sul,6,6,1409,olhos,247,6,545.012.002,Porta Detergente e Esponja Flat,COZINHA,87,285,60,61751.11,447
sul,6,6,1409,olhos,247,7,545.012.086,Porta Detergente e Esponja Flat,COZINHA,87,285,60,30993.78,300
sul,6,7,1671,olhos,222,1,144.006.003,Porta Talher com 6 Divisórias e Tampa,COZINHA,290,372,50,434598.16,1138
sul,6,7,1671,olhos,222,2,144.006.002,Porta Talher com 6 Divisórias e Tampa,COZINHA,290,372,50,407369.62,1048
sul,6,7,1671,olhos,222,3,4010.012.003,Açucareiro com Tampa,COZINHA,79,285,159,116174.66,635
sul,6,7,1671,olhos,222,4,4030.012.003,Porta Farofa com Tampa,COZINHA,79,285,159,269314.02,1509
sul,7,4,886,maos,247,1,427.024.003,Escorredor Quadrado,COZINHA,242,285,110,21523.56,51
sul,7,4,886,maos,247,2,427.024.002,Escorredor Quadrado,COZINHA,242,285,110,12087.99,55
sul,7,4,886,maos,247,3,429.024.002,Escorredor Meia Lua,COZINHA,120,372,11,7350.66,36
sul,7,4,886,maos,247,4,429.024.003,Escorredor Meia Lua,COZINHA,120,372,11,4201.64,26
sul,7,5,1148,maos,247,1,028.012.003,Escorredor de Arroz Tradicional,COZINHA,220,285,160,100491.69,944
sul,7,5,1148,maos,247,2,028.012.002,Escorredor de Arroz Tradicional,COZINHA,220,285,160,84637.74,580
sul,7,5,1148,maos,247,3,553.012.003,Porta Sabonete Líquido Flat,COZINHA,79,285,160,102701.29,601
sul,7,5,1148,maos,247,4,553.012.002,Porta Sabonete Líquido Flat,COZINHA,79,285,160,65988.77,451
sul,7,5,1148,maos,247,5,553.012.086,Porta Sabonete Líquido Flat,COZINHA,79,285,160,28412.71,246
sul,7,6,1409,olhos,247,1,070.006.003,Escorredor Luxo,COZINHA,278,372,145,144426.93,847
sul,7,6,1409,olhos,247,2,070.006.002,Escorredor Luxo,COZINHA,278,372,145,126866.3,683
sul,7,6,1409,olhos,247,3,2231.024.009,Porta Frios com Tela,COZINHA,180,285,90,136231.61,297
sul,7,7,1671,olhos,222,1,046.012.003,Porta Óleo Itália,COZINHA,88,285,162,438457.13,1746
sul,7,7,1671,olhos,222,2,046.012.002,Porta Óleo Itália,COZINHA,88,285,162,173136.58,1038
sul,7,7,1671,olhos,222,3,133.012.003,Porta Detergente Rattan com Base,COZINHA,105,285,70,522953.07,1380
sul,7,7,1671,olhos,222,4,133.012.002,Porta Detergente Rattan com Base,COZINHA,105,285,70,174333.14,835
sul,7,7,1671,olhos,222,5,133.012.086,Porta Detergente Rattan com Base,COZINHA,105,285,70,89583.68,493
sul,7,7,1671,olhos,222,6,920.004.003,Kit Detergente Flat com 2 Peças,COZINHA,86,285,163,320244.62,818
sul,7,7,1671,olhos,222,7,920.004.002,Kit Detergente Flat com 2 Peças,COZINHA,86,285,163,115282.55,509
sul,7,7,1671,olhos,222,8,920.004.086,Kit Detergente Flat com 2 Peças,COZINHA,86,285,163,109006.56,422
sul,8,4,886,maos,247,1,188.012.086,Super Prático,COZINHA,267,372,108,9196.31,59
sul,8,4,886,maos,247,2,822.006.003,Escorredor de Talheres Flat,COZINHA,100,285,100,5729.24,93
sul,8,4,886,maos,247,3,822.006.002,Escorredor de Talheres Flat,COZINHA,100,285,100,5554.8,98
sul,8,4,886,maos,247,4,822.006.086,Escorredor de Talheres Flat,COZINHA,100,285,100,2570.59,53
sul,8,5,1148,maos,247,1,018.030.002,Tábua Multiuso,COZINHA,205,372,4,100928.92,193
sul,8,5,1148,maos,247,2,2232.012.009,Porta Frios Duplo Com Tela (223/2),COZINHA,180,285,50,94177.74,232
sul,8,5,1148,maos,247,3,305.006.520,Travessa Oval Canelada Com Tampa - Branca 650Ml,COZINHA,110,285,60,19745.26,229
sul,8,5,1148,maos,247,4,348.012.576,Porta Presunto Com Tela,COZINHA,120,285,40,83673.17,371
sul,8,5,1148,maos,247,5,350.012.577,Porta Frios com Tela,COZINHA,120,285,40,96263.89,438
sul,8,6,1409,olhos,247,1,096.012.003,Escorredor de Pratos Rattan,COZINHA,222,372,98,191514.17,337
sul,8,6,1409,olhos,247,2,096.012.002,Escorredor de Pratos Rattan,COZINHA,222,372,98,63400.83,213
sul,8,6,1409,olhos,247,3,096.012.086,Escorredor de Pratos Rattan,COZINHA,218,372,98,14771.65,77
sul,8,7,1671,olhos,222,1,044.012.005,Porta Leite de Saquinho,COZINHA,120,285,150,201220.37,800
sul,8,7,1671,olhos,222,2,060.012.003,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,210,372,50,318592.55,1054
sul,8,7,1671,olhos,222,3,060.012.002,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,210,372,50,250288.25,1026
sul,8,7,1671,olhos,222,4,179.024.001,Porta Frios com Pinça,COZINHA,175,285,53,498382.64,775
sul,9,5,1148,maos,247,1,015.012.003,Ralador Pratic com Pote,COZINHA,115,285,54,28124.98,249
sul,9,5,1148,maos,247,2,015.012.002,Ralador Pratic Com Pote - Branco 420Ml,COZINHA,115,285,54,18538.47,160
sul,9,5,1148,maos,247,3,121.012.003,Escorredor de Arroz Caribe,COZINHA,165,285,147,43265.69,491
sul,9,5,1148,maos,247,4,121.012.002,Escorredor de Arroz Caribe,COZINHA,165,285,147,26288.19,309
sul,9,5,1148,maos,247,5,458.024.002,Porta Leite de Saquinho,COZINHA,65,285,161,29783.83,71
sul,9,5,1148,maos,247,6,458.024.003,Porta Leite de Saquinho,COZINHA,65,285,161,17007.55,93
sul,9,6,1409,olhos,247,1,169.012.003,Boleira Barcelona com Alça,COZINHA,305,372,132,140617.5,525
sul,9,6,1409,olhos,247,2,169.012.002,Boleira Barcelona com Alça,COZINHA,305,372,132,109802.85,389
sul,9,6,1409,olhos,247,3,349.012.575,Porta Queijo com Tela,COZINHA,120,285,40,104997.34,406
sul,9,7,1671,olhos,222,1,023.030.002,Ralador com 4 Faces,COZINHA,104,285,192,182716.25,349
sul,9,7,1671,olhos,222,2,051.012.003,Porta Detergente 3 Em 1 - Preto (051/P),COZINHA,120,285,65,230461.39,1296
sul,9,7,1671,olhos,222,3,051.012.002,Porta Detergente 3 Em 1 - Branco (051/B),COZINHA,102,285,65,86647.64,650
sul,9,7,1671,olhos,222,4,051.012.086,Porta Detergente 3 Em 1 - Chumbo,COZINHA,120,285,65,41706.07,303
sul,9,7,1671,olhos,222,5,221.012.003,Saleiro Premier com Alça,COZINHA,110,285,132,200087.68,632
sul,9,7,1671,olhos,222,6,221.012.002,Saleiro Premier com Alça,COZINHA,110,285,132,73673.44,346
sul,9,7,1671,olhos,222,7,4040.012.003,Saleiro com Tampa,COZINHA,79,285,159,65973.69,597
sul,10,5,1148,maos,247,1,094.012.003,Açucareiro Doçura,COZINHA,90,285,94,17774.27,348
sul,10,5,1148,maos,247,2,094.012.002,Açucareiro Doçura,COZINHA,90,285,94,17357.87,283
sul,10,5,1148,maos,247,3,129.012.003,Porta Talher Stillo com 4 Divisórias,COZINHA,215,372,42,28898.46,315
sul,10,5,1148,maos,247,4,129.012.002,Porta Talher Stillo com 4 Divisórias,COZINHA,215,372,42,26672.12,297
sul,10,5,1148,maos,247,5,369.006.001,Kit Porta Frios Com 3 Pecas,COZINHA,120,285,120,14592.02,62
sul,10,6,1409,olhos,247,1,016.012.003,Talheres Max,COZINHA,116,285,135,131079.78,957
sul,10,6,1409,olhos,247,2,016.012.002,Talheres Max,COZINHA,115,285,135,60055.6,576
sul,10,6,1409,olhos,247,3,016.012.086,Talheres Max,COZINHA,116,285,135,29299.15,308
sul,10,6,1409,olhos,247,4,067.012.003,Saleiro Premier com Alça,COZINHA,110,285,120,145218.67,794
sul,10,6,1409,olhos,247,5,067.012.002,Saleiro - Transparente E Branco,COZINHA,110,285,120,77301.01,668
sul,10,6,1409,olhos,247,6,306.006.520,"Travessa Oval Canelada Com Tampa - Branca 1,2L",COZINHA,145,285,73,123991.77,476
sul,10,7,1671,olhos,222,1,055.012.003,Escorredor Multiuso,COZINHA,215,285,190,248395.68,579
sul,10,7,1671,olhos,222,2,055.012.002,Escorredor Multiuso,COZINHA,215,285,190,64323.58,282
sul,10,7,1671,olhos,222,3,116.012.003,Porta Detergente Com Telinha - Preto (116/P),COZINHA,105,285,65,162300.53,897
sul,10,7,1671,olhos,222,4,116.012.002,Porta Detergente Com Telinha - Branco (116/B),COZINHA,105,285,65,83941.86,636
sul,10,7,1671,olhos,222,5,116.012.086,Porta Detergente Com Telinha - Chumbo,COZINHA,105,285,65,21816.46,245
sul,11,3,624,chao,247,1,124.012.003,Com Bandeja e Talheres,POTES,125,285,60,30854.7,158
sul,11,3,624,chao,247,2,176.024.001,Marmita Due c/ Div Móvel,POTES,119,285,57,31796.35,156
sul,11,3,624,chao,247,3,197.024.010,Pote com Travas e 2 Div.,POTES,119,285,57,25836.6,160
sul,11,3,624,chao,247,4,203.006.003,Pote Ultraforte com Travas,POTES,200,372,105,26459.44,154
sul,11,3,624,chao,247,5,353.006.003,Kit Potes Modulares com 6 Peças,POTES,145,285,73,32623.56,24
sul,11,4,886,maos,247,1,2280.012.001,Pote Redondo com Travas,POTES,165,285,81,77902.76,379
sul,11,4,886,maos,247,2,2280.012.003,Pote Redondo com Travas,POTES,165,285,81,3954.96,48
sul,11,4,886,maos,247,3,2290.006.862,Coloratto com 3 Peças,POTES,125,285,180,42059.06,171
sul,11,4,886,maos,247,4,2290.012.001,Pote Redondo com Travas,POTES,125,285,61,21719.79,264
sul,11,4,886,maos,247,5,2290.012.003,Pote Redondo com Travas,POTES,125,285,61,4306.8,68
sul,11,5,1148,maos,247,1,050.012.001,Pote Premier com 4 Divisórias,POTES,225,285,50,144018.86,497
sul,11,5,1148,maos,247,2,050.012.003,Pote Premier com 4 Divisórias,POTES,225,285,50,16743.48,87
sul,11,5,1148,maos,247,3,359.012.003,Pote Arroz Acoplado Com Rosca - 2L,POTES,140,285,179,128599.85,389
sul,11,5,1148,maos,247,4,360.012.003,Pote Feijao Acoplado Com Rosca - 2L,POTES,140,285,179,142422.77,540
sul,11,6,1409,olhos,247,1,152.006.003,Kit Mantimentos  5 Peças,POTES,230,285,225,299992.8,302
sul,11,6,1409,olhos,247,2,152.006.002,Kit Mantimentos  5 Peças,POTES,230,285,225,27493.02,105
sul,11,6,1409,olhos,247,3,216.012.003,Pote Ultraforte com Travas,POTES,200,372,105,212734.84,606
sul,11,6,1409,olhos,247,4,281.036.999,Pote Acoplado com Copo Medidor,POTES,60,285,97,103539.97,628
sul,11,7,1671,olhos,222,1,027.012.001,Porta Pão Armazena e Conserva,POTES,140,372,135,519707.0,1089
sul,11,7,1671,olhos,222,2,139.012.001,Pote com 3 Divisórias,POTES,140,285,65,312662.12,957
sul,11,7,1671,olhos,222,3,139.012.003,Pote com 3 Divisórias,POTES,140,285,65,20809.89,107
sul,11,7,1671,olhos,222,4,233.012.001,Pote Raso com Travas,POTES,140,285,70,334805.31,1114
sul,11,7,1671,olhos,222,5,233.012.003,Pote Raso com Travas,POTES,140,285,70,12046.8,103
sul,12,3,624,chao,247,1,190.012.001,Pote Alto com Travas,POTES,145,285,218,24459.0,80
sul,12,3,624,chao,247,2,190.012.003,Pote Alto com Travas,POTES,145,285,218,1140.12,5
sul,12,3,624,chao,247,3,361.012.003,Pote Farinha Acoplado Com Rosca - 2L,POTES,140,285,179,23619.99,232
sul,12,3,624,chao,247,4,821.004.001,Pote com Tampa Fixa,POTES,130,285,77,24905.44,84
sul,12,3,624,chao,247,5,821.004.003,Pote com Tampa Fixa,POTES,130,285,77,549.2,5
sul,12,4,886,maos,247,1,191.012.001,Pote com 2 Divisórias,POTES,170,285,67,52479.02,308
sul,12,4,886,maos,247,2,191.012.003,Pote com 2 Divisórias,POTES,170,285,67,11491.56,61
sul,12,4,886,maos,247,3,209.012.003,Marmita c/ Porta Talheres,POTES,110,285,64,41653.99,176
sul,12,4,886,maos,247,4,301.012.001,Pote Raso Retangular Raso,POTES,150,285,50,53979.69,441
sul,12,4,886,maos,247,5,301.012.003,Pote Raso Retangular Raso,POTES,150,285,50,11339.56,98
sul,12,5,1148,maos,247,1,239.012.001,Pote Acoplado Com Rosca - Transparente 3L,POTES,155,285,217,75341.37,308
sul,12,5,1148,maos,247,2,239.012.002,Pote Acoplado Com Rosca - Branco 3L,POTES,155,285,217,43119.56,171
sul,12,5,1148,maos,247,3,239.012.003,Pote Acoplado Preto C/Rosca 3L,POTES,155,285,217,20142.12,106
sul,12,5,1148,maos,247,4,317.012.001,Marmita Fit,POTES,100,285,62,110430.97,217
sul,12,5,1148,maos,247,5,317.012.003,Marmita Fit,POTES,127,285,68,3737.16,38
sul,12,6,1409,olhos,247,1,238.012.001,Pote Acoplado Com Rosca - Transparente 2L,POTES,140,285,179,181397.0,538
sul,12,6,1409,olhos,247,2,238.012.002,Pote Acoplado Branco C/Rosca 2L,POTES,140,285,178,37681.16,270
sul,12,6,1409,olhos,247,3,238.012.003,Pote Acoplado Preto C/Rosca 2L,POTES,140,285,178,15931.33,91
sul,12,6,1409,olhos,247,4,2590.012.001,Pote Alto Retangular,POTES,150,285,72,187616.03,671
sul,12,6,1409,olhos,247,5,2590.012.003,Pote Alto Retangular,POTES,150,285,72,41793.72,124
sul,12,7,1671,olhos,222,1,156.012.001,Pote Alto com Travas,POTES,140,285,120,275049.01,942
sul,12,7,1671,olhos,222,2,156.012.003,Pote Alto com Travas,POTES,140,285,120,15974.52,90
sul,12,7,1671,olhos,222,3,166.024.001,Porta Biscoitos e Torradas,POTES,91,285,89,255181.65,746
sul,12,7,1671,olhos,222,4,2580.012.001,Pote Alto Retangular,POTES,185,372,87,309665.81,868
sul,12,7,1671,olhos,222,5,2580.012.003,Pote Alto Retangular,POTES,185,372,87,15118.11,75
sul,13,3,624,chao,247,1,228.012.003,Pote c/ Travas Laterais,POTES,165,285,80,22305.54,208
sul,13,3,624,chao,247,2,236.012.671,Pote Feijão Acoplado Com Rosca - 1L,POTES,118,285,150,1981.44,25
sul,13,3,624,chao,247,3,236.012.669,Pote Arroz Acoplado Com Rosca - 1L,POTES,118,285,150,1779.96,24
sul,13,3,624,chao,247,4,236.012.670,Pote Farinha Acoplado Com Rosca - 1L,POTES,118,285,150,800.52,11
sul,13,3,624,chao,247,5,554.012.001,Pote com Tampa Fixa,POTES,80,285,60,17767.83,246
sul,13,3,624,chao,247,6,554.012.003,Pote com Tampa Fixa,POTES,80,285,60,2079.48,48
sul,13,4,886,maos,247,1,235.012.001,Pote Acoplado Com Rosca - Transparente 500Ml,POTES,118,285,82,27450.1,304
sul,13,4,886,maos,247,2,235.012.002,Pote Acoplado Com Rosca - Branco 500Ml,POTES,118,285,82,18563.1,169
sul,13,4,886,maos,247,3,235.012.003,Pote Acoplado Preto C/Rosca 500Ml,POTES,118,285,82,9735.2,106
sul,13,4,886,maos,247,4,235.012.671,Pote Acoplado Preto C/Rosca - Sal 500Ml,POTES,118,285,82,4076.4,66
sul,13,4,886,maos,247,5,2500.012.001,Pote Alto Retangular,POTES,119,285,66,46733.4,499
sul,13,4,886,maos,247,6,2500.012.003,Pote Alto Retangular,POTES,119,285,66,4268.28,59
sul,13,5,1148,maos,247,1,236.012.001,Pote Acoplado Com Rosca - Transparente 1L,POTES,118,285,150,52667.61,390
sul,13,5,1148,maos,247,2,236.012.002,Pote Acoplado Com Rosca - Branco 1L,POTES,118,285,150,39949.81,212
sul,13,5,1148,maos,247,3,236.012.003,Pote Acoplado Preto C/Rosca 1L,POTES,118,285,150,17715.38,127
sul,13,5,1148,maos,247,4,236.012.667,Pote Sal Grosso Acoplado Com Rosca - 1L (236/Sg),POTES,118,285,150,15039.17,156
sul,13,5,1148,maos,247,5,236.012.668,Pote Café Acoplado Com Rosca - 1L,POTES,118,285,150,7830.72,101
sul,13,5,1148,maos,247,6,236.012.672,Pote Açucar Acoplado Com Rosca - 1L,POTES,118,285,150,3933.0,51
sul,13,6,1409,olhos,247,1,2540.012.001,Kit Potes Altos com 3 pçs,POTES,210,372,101,203640.25,112
sul,13,6,1409,olhos,247,2,2540.012.003,Kit Potes Altos com 3 pçs,POTES,210,372,101,20552.88,20
sul,13,6,1409,olhos,247,3,3780.012.001,Pote Quadrado com Travas,POTES,145,285,73,158558.64,806
sul,13,6,1409,olhos,247,4,3780.012.003,Pote Quadrado com Travas,POTES,145,285,73,9537.04,98
sul,13,7,1671,olhos,222,1,215.012.003,Pote Ultraforte com Travas,POTES,165,285,87,289403.85,807
sul,13,7,1671,olhos,222,2,244.012.001,"Pote Raso Com Valvula - 3,2L (244)",POTES,210,372,72,284556.52,508
sul,13,7,1671,olhos,222,3,3770.012.001,Pote Quadrado com Travas,POTES,185,285,88,264644.58,723
sul,13,7,1671,olhos,222,4,3770.012.003,Pote Quadrado com Travas,POTES,185,285,88,10284.36,50
sul,14,3,624,chao,247,1,323.006.003,"Pote Modular - Preto 2,4L",POTES,235,285,108,3615.06,39
sul,14,4,886,maos,247,1,212.012.003,Pote com Travas e 2 Div.,POTES,130,285,60,46851.82,275
sul,14,4,886,maos,247,2,248.012.009,Pote Tomatinho Acoplado Com Rosca - 500Ml (248),POTES,118,285,82,48255.55,368
sul,14,4,886,maos,247,3,319.012.001,Pote Modular - Transparente 250Ml,POTES,78,285,69,42014.81,272
sul,14,4,886,maos,247,4,319.012.003,Pote Modular - Preto 250Ml,POTES,113,285,58,3236.4,48
sul,14,4,886,maos,247,5,556.012.001,Pote com Tampa Fixa,POTES,130,285,77,42673.55,331
sul,14,4,886,maos,247,6,556.012.003,Pote com Tampa Fixa,POTES,130,285,77,3700.44,41
sul,14,5,1148,maos,247,1,231.012.001,Pote Raso com Travas,POTES,100,285,40,80234.86,759
sul,14,5,1148,maos,247,2,231.006.861,Kit Pote Raso Coloratto Com 2 Pecas - 270Ml (289/K),POTES,96,285,80,23410.6,164
sul,14,5,1148,maos,247,3,231.006.862,Kit Pote Raso Coloratto Com 3 Pecas - 270Ml (291/K),POTES,96,285,120,18076.82,169
sul,14,5,1148,maos,247,4,231.012.003,Pote Raso com Travas,POTES,100,285,40,3795.92,67
sul,14,5,1148,maos,247,5,3790.012.001,Pote Quadrado com Travas,POTES,113,285,58,74723.58,692
sul,14,5,1148,maos,247,6,3790.006.862,Kit Pote Quadrado Coloratto Com 3 Pecas - 370Ml,POTES,110,285,116,35340.93,165
sul,14,5,1148,maos,247,7,3790.012.003,Pote Quadrado com Travas,POTES,113,285,58,3761.4,77
sul,14,6,1409,olhos,247,1,232.012.001,Pote Raso com Travas,POTES,110,285,50,183711.13,923
sul,14,6,1409,olhos,247,2,232.006.861,Kit Pote Raso Coloratto Com 2 Pecas - 500Ml,POTES,110,285,100,16980.72,141
sul,14,6,1409,olhos,247,3,232.006.862,Kit Pote Raso Coloratto Com 3 Pecas - 500Ml,POTES,110,285,150,12784.62,105
sul,14,6,1409,olhos,247,4,232.012.003,Pote Raso com Travas,POTES,110,285,50,10214.13,118
sul,14,6,1409,olhos,247,5,241.024.001,Pote Raso com Válvula,POTES,117,285,40,93939.12,423
sul,14,6,1409,olhos,247,6,818.012.001,"Pote Alto Com Valvula - Transparente 2,9L",POTES,190,372,90,163976.89,384
