referencia;achou;codprod;descrprod;ativo;codgrupoprod;nomegrupo;largura;altura;espessura;usomarcaprop;veredito_artefato;obs_artefato
028.012.002;S;5896;ESCORREDOR DE ARROZ TRADICIONAL - BRANCO;S;1000100;Linha Cozinha;22.00;16.00;28.00;S;ok;
028.012.003;S;5897;ESCORREDOR DE ARROZ TRADICIONAL - PRETO;S;1000100;Linha Cozinha;22.00;16.00;28.00;S;ok;
030.012.001;S;4084;POTE MONTEREY COM 3 DIVISORIAS - TRANSPARENTE 1,1L (0307.012.001);S;1000200;Linha Potes;21.20;5.50;21.20;S;ok;
030.012.003;S;13976;POTE MONTEREY COM 3 DIVISORIAS - PRETO 1,1L;S;1000200;Linha Potes;21.20;5.50;21.20;S;ok;
032.012.002;S;9608;JARRA COM TAMPA - BRANCO 2L;S;1001100;Linha Jarras;14.50;19.90;20.80;S;ok;
032.012.547;S;4262;JARRA COM TAMPA - VERMELHO 2L;S;1001100;Linha Jarras;14.50;19.90;20.80;S;ok;
033.012.002;S;9609;JARRA COM ESPREMEDOR - BRANCO 2L;S;1001100;Linha Jarras;14.50;21.80;20.80;S;ok;
033.012.547;S;4230;JARRA COM ESPREMEDOR - VERMELHO 2L;S;1001100;Linha Jarras;14.50;21.80;20.80;S;ok;
034.012.001;S;4087;POTE MONACO COM 3 DIVISORIAS - TRANSPARENTE 1L;S;1000200;Linha Potes;19.00;5.00;24.50;S;ok;
034.012.003;S;14007;POTE MONACO COM 3 DIVISORIAS - PRETO 1L;S;1000200;Linha Potes;19.00;5.00;24.50;S;ok;
039.012.002;S;6260;ESCORREDOR BASICO COM CABO - BRANCO;S;1000100;Linha Cozinha;23.00;9.00;38.50;S;ok;
039.012.003;S;6261;ESCORREDOR BASICO COM CABO - PRETO;S;1000100;Linha Cozinha;23.00;9.00;38.50;S;ok;
041.012.002;S;290;ORGANIZADOR MULTIUSO RATTAN COM 3 DIVISÓRIAS - BRANCO (041/B);S;1000600;Linha Organização;11.00;17.80;16.00;S;ok;
041.012.003;S;293;ORGANIZADOR MULTIUSO RATTAN COM 3 DIVISORIAS - PRETO (041/P);S;1000600;Linha Organização;11.00;17.80;16.00;S;ok;
041.012.086;S;11825;ORGANIZADOR MULTIUSO RATTAN COM 3 DIVISORIAS - CHUMBO;S;1000600;Linha Organização;11.00;17.80;16.00;S;ok;
043.012.002;S;296;FRASQUEIRA MEDICAMENTOS - BRANCA 1,4L (043/M);S;1001600;Linha Frasqueiras;15.70;10.00;19.10;S;ok;
043.012.009;S;6572;FRASQUEIRA MEDICAMENTOS - VERMELHA 1,4L;S;1001600;Linha Frasqueiras;15.70;10.00;19.10;S;ok;
044.012.005;S;201;PORTA FILTRO PARA CAFÉ (044);S;1000100;Linha Cozinha;12.00;15.00;16.00;S;ok;
045.012.001;S;1602;FORMA DE PUDIM PARA MICRO-ONDAS COM TAMPA 1,9L (045);S;1000400;Linha Micro-ondas;23.70;10.00;26.20;S;ok;
046.012.002;S;6324;PORTA OLEO ITALIA - BRANCO;S;1000100;Linha Cozinha;8.80;16.20;12.00;S;ok;
046.012.003;S;6325;PORTA OLEO ITALIA - PRETO;S;1000100;Linha Cozinha;8.80;16.20;12.00;S;ok;
047.012.002;S;298;CESTO ORGANIZADOR VIME - BRANCO 7L (047/B);S;1000600;Linha Organização;21.00;17.00;29.40;S;ok;
047.012.003;S;302;CESTO ORGANIZADOR VIME - PRETO 7L (047/P);S;1000600;Linha Organização;21.00;17.00;29.40;S;ok;
050.012.001;S;4106;POTE PREMIER COM 4 DIVISORIAS - TRANSPARENTE 1,1L;S;1000200;Linha Potes;22.50;5.00;22.50;S;ok;
050.012.003;S;13977;POTE PREMIER COM 4 DIVISORIAS - PRETO 1,1L;S;1000200;Linha Potes;22.50;5.00;22.50;S;ok;
051.012.002;S;3300;PORTA DETERGENTE 3 EM 1 - BRANCO (051/B);S;1000100;Linha Cozinha;10.20;6.50;28.00;S;ok;
051.012.003;S;3301;PORTA DETERGENTE 3 EM 1 - PRETO (051/P);S;1000100;Linha Cozinha;28.00;6.50;12.00;S;ok;
051.012.086;S;11827;PORTA DETERGENTE 3 EM 1 - CHUMBO;S;1000100;Linha Cozinha;28.00;6.50;12.00;S;ok;
052.006.002;S;427;LIXEIRA RATTAN COM PEDAL - BRANCA 6L (052/B);S;1000700;Linha Lixeiras;21.00;26.00;24.20;S;ok;
052.006.003;S;431;LIXEIRA RATTAN COM PEDAL - PRETA 6L (052/P);S;1000700;Linha Lixeiras;20.80;26.00;23.50;S;ok;
052.006.086;S;11828;LIXEIRA RATTAN COM PEDAL - CHUMBO 6L;S;1000700;Linha Lixeiras;20.80;26.00;23.50;S;ok;
053.004.002;S;3108;PRATELEIRA MULTI USO COM 4 ANDARES - BRANCA (053/B);S;1000600;Linha Organização;30.00;70.50;39.50;S;ok;
053.004.003;S;434;PRATELEIRA MULTI USO COM 4 ANDARES - PRETA (053/P);S;1000600;Linha Organização;30.00;70.50;39.50;S;ok;
054.004.001;S;237;CESTO DE ROUPAS 47L (054);S;1000300;Linha Limpeza;34.00;50.00;47.50;S;ok;
054.004.003;S;11346;CESTO DE ROUPAS 47 LT COM ALCA;S;1000300;Linha Limpeza;34.50;50.00;23.00;S;ok;
055.012.002;S;6257;ESCORREDOR MULTI USO - BRANCO;S;1000100;Linha Cozinha;21.50;19.00;26.00;S;ok;
055.012.003;S;6256;ESCORREDOR MULTI USO - PRETO;S;1000100;Linha Cozinha;21.50;19.00;26.00;S;ok;
056.012.002;S;6262;ESCORREDOR LUXO COM CABO - BRANCO;S;1000100;Linha Cozinha;25.00;11.50;38.50;S;ok;
056.012.003;S;6263;ESCORREDOR LUXO COM CABO - PRETO;S;1000100;Linha Cozinha;25.00;11.50;38.50;S;ok;
059.012.002;S;3303;ESCORREDOR DE PRATOS - BRANCO (059/B);S;1000100;Linha Cozinha;30.50;9.50;42.20;S;ok;
059.012.003;S;3304;ESCORREDOR DE PRATOS - PRETO (059/P);S;1000100;Linha Cozinha;42.20;9.20;11.80;S;ok;
059.012.086;S;11829;ESCORREDOR DE PRATOS - CHUMBO;S;1000100;Linha Cozinha;42.20;9.20;11.80;S;ok;
060.012.002;S;6574;PORTA TALHERES PARIS COM 4 DIVISORIAS E TAMPA - BRANCO;S;1000100;Linha Cozinha;21.00;5.00;32.50;S;ok;
060.012.003;S;6575;PORTA TALHERES PARIS COM 4 DIVISORIAS E TAMPA - PRETO;S;1000100;Linha Cozinha;21.00;5.00;32.50;S;ok;
062.012.002;S;307;CAIXA ORGANIZADORA RATTAN COM TAMPA - BRANCA 4L (062/B);S;1000600;Linha Organização;20.00;10.50;25.50;S;ok;
062.012.003;S;311;CAIXA ORGANIZADORA RATTAN COM TAMPA - PRETA 4L (062/P);S;1000600;Linha Organização;20.00;10.70;25.50;S;ok;
062.012.086;S;11831;CAIXA ORGANIZADORA RATTAN COM TAMPA - CHUMBO 4L;S;1000600;Linha Organização;20.00;10.70;25.50;S;ok;
064.012.002;S;9610;JARRA COM TUBO PARA GELO - BRANCO 2L;S;1001100;Linha Jarras;14.50;19.90;20.80;S;ok;
064.012.547;S;4266;JARRA COM TUBO PARA GELO - VERMELHO 2L;S;1001100;Linha Jarras;14.50;19.90;20.80;S;ok;
065.012.002;S;319;CAIXA ORGANIZADORA RATTAN COM TAMPA - BRANCA 2L (065/B);S;1000600;Linha Organização;15.50;9.30;20.50;S;ok;
065.012.003;S;323;CAIXA ORGANIZADORA RATTAN COM TAMPA - PRETA 2L (065/P);S;1000600;Linha Organização;15.40;9.00;20.50;S;ok;
065.012.086;S;11853;CAIXA ORGANIZADORA RATTAN COM TAMPA - CHUMBO 2L;S;1000600;Linha Organização;15.40;9.00;20.50;S;ok;
067.012.002;S;6269;SALEIRO - TRANSPARENTE E BRANCO;S;1000100;Linha Cozinha;11.00;12.00;16.00;S;ok;
067.012.003;S;6271;SALEIRO - TRANSPARENTE E PRETO;S;1000100;Linha Cozinha;11.00;12.00;16.00;S;ok;
068.012.002;S;331;CAIXA ORGANIZADORA RATTAN COM TAMPA - BRANCA 8L (068/B);S;1000600;Linha Organização;22.50;14.80;32.30;S;ok;
068.012.003;S;335;CAIXA ORGANIZADORA RATTAN COM TAMPA - PRETA 8L (068/P);S;1000600;Linha Organização;22.50;14.80;32.30;S;ok;
068.012.086;S;11854;CAIXA ORGANIZADORA RATTAN COM TAMPA - CHUMBO 8L;S;1000600;Linha Organização;22.50;14.80;32.30;S;ok;
069.006.002;S;343;CAIXA ORGANIZADORA RATTAN COM TAMPA - BRANCA 16L (069/B);S;1000600;Linha Organização;28.00;19.00;38.50;S;ok;
069.006.003;S;347;CAIXA ORGANIZADORA RATTAN COM TAMPA - PRETA 16L (069/P);S;1000600;Linha Organização;28.00;19.00;38.50;S;ok;
069.006.086;S;11855;CAIXA ORGANIZADORA RATTAN COM TAMPA - CHUMBO 16L;S;1000600;Linha Organização;28.00;19.00;38.50;S;ok;
070.006.002;S;5898;ESCORREDOR LUXO - BRANCO;S;1000100;Linha Cozinha;27.80;14.50;34.80;S;ok;
070.006.003;S;5899;ESCORREDOR LUXO - PRETO;S;1000100;Linha Cozinha;27.80;14.50;34.80;S;ok;
075.024.001;S;498;SANDUICHEIRA PRATIC - 600ML (075);S;1000100;Linha Cozinha;12.50;7.00;13.90;S;ok;
076.024.001;S;6577;SABONETEIRA COM TAMPA - TRANSPARENTE;S;1000800;Linha Banheiro;7.80;4.20;10.80;S;ok;
076.024.066;S;6578;SABONETEIRA COM TAMPA - FUME;S;1000800;Linha Banheiro;7.80;4.20;10.80;S;ok;
077.012.002;S;5900;ESCORREDOR IDEAL - BRANCO;S;1000100;Linha Cozinha;24.00;10.00;26.70;S;ok;
077.012.003;S;5901;ESCORREDOR IDEAL - PRETO;S;1000100;Linha Cozinha;24.00;10.00;26.70;S;ok;
078.036.001;S;203;FORMA DE GELO FIRENZE (078);S;1000100;Linha Cozinha;10.70;3.80;28.30;S;ok;
079.012.002;S;3306;PORTA SHAMPOO E PRATELEIRA MADRI - BRANCO (079/B);S;1000800;Linha Banheiro;9.20;39.60;17.00;S;ok;
079.012.003;S;3307;PORTA SHAMPOO E PRATELEIRA MADRI - PRETO (079/P);S;1000800;Linha Banheiro;9.20;39.60;17.00;S;ok;
081.012.002;S;6272;PORTA PAPEL TOALHA - BRANCO;S;1000100;Linha Cozinha;14.80;26.30;19.50;S;ok;
081.012.003;S;6273;PORTA PAPEL TOALHA - PRETO;S;1000100;Linha Cozinha;14.80;26.30;19.50;S;ok;
088.012.002;S;9611;JARRA ESTRELA COM TAMPA - BRANCO 1,6L;S;1001100;Linha Jarras;13.00;17.40;18.00;S;ok;
088.012.547;S;4269;JARRA ESTRELA COM TAMPA - VERMELHO 1,6L;S;1001100;Linha Jarras;13.00;17.40;18.00;S;ok;
090.012.002;S;6658;SALEIRO RUBI - TRANSPARENTE E BRANCO 1 KG;S;1000100;Linha Cozinha;11.00;13.20;17.50;S;ok;
090.012.003;S;6659;SALEIRO RUBI - TRANSPARENTE E PRETO 1 KG;S;1000100;Linha Cozinha;11.00;13.20;17.50;S;ok;
091.012.002;S;3308;LIXEIRA VERONA - BRANCA 4L (091/B);S;1000700;Linha Lixeiras;19.60;20.70;23.50;S;ok;
091.012.003;S;6660;LIXEIRA VERONA - PRETA 4L;S;1000700;Linha Lixeiras;19.60;20.70;23.50;S;ok;
092.012.002;S;6580;SABONETEIRA DE PAREDE COM VENTOSA - BRANCO;S;1000800;Linha Banheiro;9.50;7.50;13.60;S;ok;
092.012.003;S;6581;SABONETEIRA DE PAREDE COM VENTOSA - PRETO;S;1000800;Linha Banheiro;9.50;7.50;13.60;S;ok;
093.012.002;S;3311;CESTINHO VERSATIL - BRANCO 4,2L (093/B);S;1000600;Linha Organização;20.00;10.50;28.50;S;ok;
093.012.003;S;3312;CESTINHO VERSATIL - PRETO 4,2L (093/P);S;1000600;Linha Organização;20.00;10.50;28.50;S;ok;
094.012.002;S;6582;ACUCAREIRO DOCURA - BRANCO;S;1000100;Linha Cozinha;9.00;9.40;12.50;S;ok;
094.012.003;S;6583;ACUCAREIRO DOCURA - PRETO;S;1000100;Linha Cozinha;9.00;9.40;12.50;S;ok;
095.012.002;S;3355;CANTONEIRA PARA BANHEIRO PREMIUM - BRANCO (095/B);S;1000800;Linha Banheiro;14.30;38.60;21.50;S;ok;
095.012.003;S;3314;CANTONEIRA PARA BANHEIRO PREMIUM- PRETO (095/P);S;1000800;Linha Banheiro;14.30;38.60;21.50;S;ok;
096.012.002;S;52;ESCORREDOR DE PRATOS RATTAN - BRANCO (096/B);S;1000100;Linha Cozinha;22.20;9.80;33.70;S;ok;
096.012.003;S;55;ESCORREDOR DE PRATOS RATTAN - PRETO (096/P);S;1000100;Linha Cozinha;22.20;9.80;33.70;S;ok;
096.012.086;S;11860;ESCORREDOR DE PRATOS RATTAN - CHUMBO;S;1000100;Linha Cozinha;33.50;9.80;21.80;S;ok;
097.012.001;S;243;NITRONBOX 10L (097);S;1000600;Linha Organização;29.30;13.60;41.00;S;ok;
098.012.999;S;14016;BALDE LIMPEX - SORTIDO 8L;S;1000300;Linha Limpeza;28.30;24.30;31.20;S;ok;
100.006.002;S;3316;LIXEIRA COM PEDAL - BRANCA 7L (100/B);S;1000700;Linha Lixeiras;23.00;27.20;28.00;S;ok;
100.006.003;S;6747;LIXEIRA COM PEDAL - PRETA 7L;S;1000700;Linha Lixeiras;23.00;27.20;28.00;S;ok;
103.024.003;S;6585;MARMIBOX COM DIVISORIA PARA TALHERES - PRETO 780ML;S;1000200;Linha Potes;12.50;6.00;20.50;S;ok;
105.024.003;S;6711;MARMITA BOM APETITE COM BANDEIJA E VALVULA - PRETO 800ML;S;1000200;Linha Potes;12.70;7.00;17.00;S;ok;
106.012.001;S;245;ORGANIZA TUDO COM 16 DIVISORIAS (106);S;1000600;Linha Organização;19.50;4.80;30.00;S;ok;
109.012.001;S;247;NITRONBOX 6L (109);S;1000600;Linha Organização;22.80;13.00;37.00;S;ok;
110.006.001;S;248;NITRONBOX 20L (110);S;1000600;Linha Organização;29.30;25.60;41.00;S;ok;
111.012.002;S;9612;ESPREMEDOR PORTATIL FIT - BRANCO 510ML;S;1001100;Linha Jarras;9.50;16.70;10.30;S;ok;
111.012.549;S;4271;ESPREMEDOR PORTATIL FIT - VERMELHO 510ML;S;1001100;Linha Jarras;9.50;16.70;10.30;S;ok;
112.012.002;S;9613;COPO MEDIDOR COM TAMPA - BRANCO 500ML;S;1001100;Linha Jarras;8.50;16.00;9.30;S;ok;
112.012.547;S;4273;COPO MEDIDOR COM TAMPA - VERMELHO 500ML;S;1000100;Linha Cozinha;8.50;16.00;9.30;S;ok;
113.012.002;S;6276;TANQUINHO PORTA SABAO EM BARRA - BRANCO;S;1000300;Linha Limpeza;12.90;12.20;13.20;S;ok;
113.012.003;S;6277;TANQUINHO PORTA SABAO EM BARRA - PRETO;S;1000300;Linha Limpeza;12.90;12.20;13.20;S;ok;
114.012.002;S;9614;JARRINHA COM ESPREMEDOR - BRANCO 500ML;S;1001100;Linha Jarras;13.20;11.00;16.00;S;ok;
114.012.547;S;4275;JARRINHA COM ESPREMEDOR - VERMELHO 500ML;S;1001100;Linha Jarras;13.20;11.00;16.00;S;ok;
116.012.002;S;3318;PORTA DETERGENTE COM TELINHA - BRANCO (116/B);S;1000100;Linha Cozinha;10.50;6.50;23.00;S;ok;
116.012.003;S;3319;PORTA DETERGENTE COM TELINHA - PRETO (116/P);S;1000100;Linha Cozinha;10.50;6.50;23.00;S;ok;
116.012.086;S;11861;PORTA DETERGENTE COM TELINHA - CHUMBO;S;1000100;Linha Cozinha;10.50;6.50;23.00;S;ok;
117.012.002;S;22;TABUA EXTRA GRANDE - BRANCA (117);S;1000100;Linha Cozinha;24.50;0.50;39.00;S;ok;
120.006.001;S;14104;FRASQUEIRA COM BANDEJA - ROSA 2,8L;S;1001600;Linha Frasqueiras;16.30;12.80;24.20;S;ok;
120.006.012;S;7099;FRASQUEIRA COM BANDEJA - ROSA 2,8L;S;1001600;Linha Frasqueiras;16.30;12.80;24.20;S;ok;
121.012.002;S;6278;ESCORREDOR DE ARROZ CARIBE - BRANCO;S;1000100;Linha Cozinha;16.50;14.70;25.40;S;ok;
121.012.003;S;6279;ESCORREDOR DE ARROZ CARIBE - PRETO;S;1000100;Linha Cozinha;16.50;14.70;25.40;S;ok;
122.012.002;S;6594;PORTA ESCOVAS COM TAMPA - BRANCO;S;1000800;Linha Banheiro;8.90;20.20;11.50;S;ok;
122.012.003;S;7160;PORTA ESCOVAS COM TAMPA - PRETO;S;1000800;Linha Banheiro;8.90;20.20;11.50;S;ok;
122.012.066;S;6596;PORTA ESCOVAS COM TAMPA - FUME;S;1000800;Linha Banheiro;8.90;20.20;11.50;S;ok;
123.012.027;S;7069;CAIXA DE FERRAMENTAS NITRONFORT - AMARELA 2,2L;S;1001600;Linha Frasqueiras;14.00;9.80;29.00;S;ok;
123.012.028;S;7070;CAIXA DE FERRAMENTAS NITRONFORT - LARANJA 2,2L;S;1001600;Linha Frasqueiras;14.00;9.80;29.00;S;ok;
123.012.045;S;6714;CAIXA DE FERRAMENTAS NITRONFORT - AZUL 2,2L;S;1001600;Linha Frasqueiras;14.00;9.80;29.00;S;ok;
124.012.003;S;6715;KIT MARMITA COM TALHERES - PRETO 780ML;S;1000200;Linha Potes;12.50;6.00;20.50;S;ok;
125.012.001;S;253;NITRONBOX 4,3L (125);S;1000600;Linha Organização;17.80;14.50;29.00;S;ok;
126.006.001;S;14009;FRASQUEIRA COM BANDEJA - ROSA 6,2L;S;1001600;Linha Frasqueiras;19.80;18.80;28.00;S;ok;
126.006.619;S;6395;FRASQUEIRA COM BANDEJA - ROSA 6,2L;S;1001600;Linha Frasqueiras;19.80;18.80;28.00;S;ok;
128.012.002;S;6597;CESTINHO PARA PRENDEDOR - BRANCO;S;1000300;Linha Limpeza;18.80;11.00;24.00;S;ok;
128.012.003;S;6598;CESTINHO PARA PRENDEDOR - PRETO;S;1000300;Linha Limpeza;18.80;11.00;24.00;S;ok;
129.012.002;S;6282;PORTA TALHER STILLO COM 4 DIVISORIAS - BRANCO;S;1000100;Linha Cozinha;21.50;4.20;30.00;S;ok;
129.012.003;S;6283;PORTA TALHERES STILLO COM 4 DIVISORIAS - PRETO;S;1000100;Linha Cozinha;21.50;4.20;30.00;S;ok;
130.012.002;S;3290;LIXEIRA RETRATIL - BRANCA 4L (130/B);S;1000700;Linha Lixeiras;15.80;27.50;18.90;S;ok;
130.012.003;S;6661;LIXEIRA RETRATIL - PRETA 4L;S;1000700;Linha Lixeiras;15.80;27.50;18.90;S;ok;
131.012.002;S;13984;FRASQUEIRA MEDICAMENTOS - BRANCA 2,2L;S;1001600;Linha Frasqueiras;14.00;9.80;29.00;S;ok;
131.012.009;S;13985;FRASQUEIRA MEDICAMENTOS - VERMELHA 2,2L;S;1001600;Linha Frasqueiras;14.00;9.80;29.00;S;ok;
132.036.683;S;25;PRATO UNITARIO (132);S;1000900;Linha Infantil;21.70;2.80;21.70;S;ok;
133.012.002;S;60;PORTA DETERGENTE RATTAN COM BASE - BRANCO (133/B);S;1000100;Linha Cozinha;10.50;7.00;19.70;S;ok;
133.012.003;S;64;PORTA DETERGENTE RATTAN COM BASE - PRETO (133/P);S;1000100;Linha Cozinha;10.50;7.00;19.70;S;ok;
133.012.086;S;11862;PORTA DETERGENTE RATTAN COM BASE - CHUMBO;S;1000100;Linha Cozinha;10.50;7.00;19.70;S;ok;
134.012.002;S;438;LIXEIRA BASCULANTE RATTAN - BRANCA 4,5L (134/B);S;1000700;Linha Lixeiras;16.00;30.00;19.00;S;ok;
134.012.003;S;443;LIXEIRA BASCULANTE RATTAN - PRETO 4,5L (134/P);S;1000700;Linha Lixeiras;16.00;30.00;19.00;S;ok;
134.012.086;S;11863;LIXEIRA BASCULANTE RATTAN - CHUMBO 4,5L;S;1000700;Linha Lixeiras;16.00;30.00;19.00;S;ok;
135.024.001;S;179;TAMPA PARA MICRO-ONDAS - TRANSPARENTE (135);S;1000400;Linha Micro-ondas;25.50;6.80;25.50;S;ok;
136.024.001;S;180;TRAVESSA MICRO-ONDAS COM TAMPA - TRANSPARENTE 1,5L (136);S;1000400;Linha Micro-ondas;20.80;9.20;31.00;S;ok;
137.012.002;S;257;FRASQUEIRA MEDICAMENTOS - BRANCA 2,8L (137);S;1001600;Linha Frasqueiras;16.30;12.80;24.20;S;ok;
137.012.009;S;6599;FRASQUEIRA MEDICAMENTOS - VERMELHA 2,8L;S;1001600;Linha Frasqueiras;16.30;12.80;24.20;S;ok;
138.012.001;S;258;ORGANIZA TUDO COM 11 DIVISORIAS (138);S;1000600;Linha Organização;17.50;4.30;26.20;S;ok;
139.012.001;S;4119;POTE COM 3 DIVISORIAS - TRANSPARENTE 1,1L;S;1000200;Linha Potes;14.00;6.50;24.00;S;ok;
139.012.003;S;13818;POTE COM 3 DIVISORIAS - PRETO 1,1L;S;1000200;Linha Potes;14.00;6.50;24.00;S;ok;
140.012.001;S;6284;ESTOJO MULTI USO - TRANSPARENTE;S;1000600;Linha Organização;6.80;3.50;21.00;S;ok;
140.012.066;S;6601;ESTOJO MULTI USO - FUME;S;1000600;Linha Organização;6.80;3.50;21.00;S;ok;
142.006.002;S;260;FRASQUEIRA MEDICAMENTOS - BRANCA 6,2L (142);S;1001600;Linha Frasqueiras;19.80;18.80;28.00;S;ok;
142.006.009;S;11865;FRASQUEIRA MEDICAMENTOS - VERMELHA 6,2L;S;1001600;Linha Frasqueiras;19.80;18.80;28.00;S;ok;
144.006.002;S;6303;PORTA TALHER COM 6 DIVISORIAS E TAMPA - BRANCO;S;1000100;Linha Cozinha;29.00;5.00;34.00;S;ok;
144.006.003;S;6304;PORTA TALHER COM 6 DIVISORIAS E TAMPA - PRETO;S;1000100;Linha Cozinha;29.00;5.00;34.00;S;ok;
146.024.001;S;181;FORMA DE OVOS E OMELETEIRA MICRO-ONDAS (146);S;1000400;Linha Micro-ondas;15.00;6.00;18.00;S;ok;
147.012.604;S;6397;FRASQUEIRA MINI - NATURAL 1L;S;1001600;Linha Frasqueiras;12.50;9.50;15.00;S;ok;
147.012.607;S;6400;FRASQUEIRA MINI - ROSA 1L;S;1001600;Linha Frasqueiras;12.50;9.50;15.00;S;ok;
148.004.002;S;4351;LIXEIRA BASCULANTE - BRANCA 14L;S;1000700;Linha Lixeiras;24.00;43.00;29.20;S;ok;
148.004.003;S;6662;LIXEIRA BASCULANTE - PRETA 14L;S;1000700;Linha Lixeiras;24.00;43.00;29.20;S;ok;
149.024.001;S;182;CACAROLA MICRO-ONDAS - TRANSPARENTE 2,6L (149);S;1000400;Linha Micro-ondas;22.00;15.20;26.50;S;ok;
150.004.002;S;3276;LIXEIRA COM PEDAL - BRANCA 16L (150/B);S;1000700;Linha Lixeiras;29.80;36.30;29.70;S;ok;
150.004.003;S;3285;LIXEIRA COM PEDAL - PRETA 16L (150/P);S;1000700;Linha Lixeiras;29.80;36.40;29.50;S;ok;
151.012.001;S;4122;POTE ALTO COM TRAVAS - TRANSPARENTE 4,3L;S;1000200;Linha Potes;18.00;14.00;26.00;S;ok;
151.012.003;S;14049;POTE ALTO COM TRAVAS - PRETO 4,3L;S;1000200;Linha Potes;18.00;14.00;26.00;S;ok;
