referencia,codprod,nome,pagina,categoria_catalogo,ambiente,linha_erp,comprimento_mm,largura_mm,altura_mm,fonte_cota,classe,frente_mm,profundidade_min_mm,baia_mm,faturamento_12m,clientes
214.006.003,3419,Organizador Multiuso Rattan Com 6 Divisorias - Preto (214/P),7,ORGANIZACAO,ORGANIZACAO,Linha Organização,191.0,178.0,160.0,erp,gondola,178,285,270,373144.87,1009
095.012.003,3314,Banheiro Premium,109,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,215.0,143.0,386.0,erp,gondola,143,285,513,363781.98,842
135.024.001,179,Tampa para Micro-ondas,86,MICRO-ONDAS,COZINHA,Linha Micro-ondas,255.0,255.0,68.0,erp,gondola,255,285,270,355308.6,1044
095.012.002,3355,Banheiro Premium,109,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,215.0,143.0,386.0,erp,gondola,143,285,513,351926.18,850
041.012.002,290,Organizador Multiuso Rattan Com 3 Divisórias - Branco (041/B),7,ORGANIZACAO,ORGANIZACAO,Linha Organização,160.0,110.0,178.0,erp,gondola,110,285,270,341502.29,1186
233.012.001,4060,Pote Raso com Travas,42,POTES,COZINHA,Linha Potes,220.0,140.0,70.0,erp,gondola,140,285,270,334805.31,1114
283.004.002,4333,Lixeira Juta com Pedal,98,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,345.0,175.0,325.0,erp,gondola,175,372,513,331767.33,427
068.012.002,331,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,323.0,225.0,148.0,erp,gondola,225,372,270,330909.31,399
149.024.001,182,Micro-ondas,85,MICRO-ONDAS,COZINHA,Linha Micro-ondas,265.0,220.0,152.0,erp,gondola,220,285,270,322251.72,670
920.004.003,12023,Kit Detergente Flat com 2 Peças,73,COZINHA,COZINHA,Linha Cozinha,204.0,86.0,163.0,erp,gondola,86,285,270,320244.62,818
227.036.999,473,Copo Infantil com Alça - Sortido,67,INFANTIL,FRASQUEIRAS E INFANTIL,Linha Infantil,110.0,80.0,122.0,erp,gondola,80,285,270,320155.28,615
153.012.546,4146,Jarra com Tampa Flip Top,89,JARRAS,COZINHA,Linha Jarras,184.0,100.0,215.0,erp,gondola,100,285,270,319913.49,868
100.006.003,6747,Lixeira com Pedal,100,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,280.0,230.0,272.0,erp,gondola,230,285,513,319162.37,789
060.012.003,6575,Porta Talher Paris com 4 Divisórias e Tampa,76,COZINHA,COZINHA,Linha Cozinha,325.0,210.0,50.0,erp,gondola,210,372,270,318592.55,1054
122.012.066,6596,Saboneteira com Telinha,108,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,115.0,89.0,202.0,erp,gondola,89,285,270,316533.9,948
062.012.003,311,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,255.0,200.0,107.0,erp,gondola,200,285,270,315555.5,538
068.012.003,335,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,323.0,225.0,148.0,erp,gondola,225,372,270,314588.44,425
139.012.001,4119,Pote com 3 Divisórias,59,POTES,COZINHA,Linha Potes,240.0,140.0,65.0,erp,gondola,140,285,270,312662.12,957
062.012.002,307,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,255.0,200.0,105.0,erp,gondola,200,285,270,311737.11,431
2580.012.001,4078,Pote Alto Retangular,61,POTES,COZINHA,Linha Potes,305.0,185.0,87.0,erp,gondola,185,372,270,309665.81,868
032.012.547,4262,Jarra com Tampa,90,JARRAS,COZINHA,Linha Jarras,208.0,145.0,199.0,erp,gondola,145,285,270,304681.58,849
163.004.002,447,Lixeira Vime,100,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,270.0,232.0,320.0,erp,gondola,232,285,513,302408.01,610
396.006.002,9707,Lixeira Flat com Pedal,99,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,256.0,172.0,268.0,erp,gondola,172,285,513,301157.16,349
152.006.003,81,Kit Mantimentos  5 Peças,53,POTES,COZINHA,Linha Potes,230.0,230.0,225.0,erp,gondola,230,285,270,299992.8,302
215.012.003,6681,Pote Ultraforte com Travas,52,POTES,COZINHA,Linha Potes,250.0,165.0,87.0,erp,gondola,165,285,270,289403.85,807
224.012.003,3342,Porta Talher Escorre e Guarda,74,COZINHA,COZINHA,Linha Cozinha,185.0,95.0,240.0,erp,gondola,95,285,270,288745.52,848
244.012.001,110,"Pote Raso Com Valvula - 3,2L (244)",55,POTES,COZINHA,Linha Potes,360.0,210.0,72.0,erp,gondola,210,372,270,284556.52,508
123.012.028,7070,"Caixa de Ferramentas Nitronfort 2,2L",19,ORGANIZACAO,ORGANIZACAO,Linha Frasqueiras,290.0,140.0,98.0,erp,gondola,140,372,270,275472.05,501
237.006.003,6639,Pote Acoplado com Copo Medidor,49,POTES,COZINHA,Linha Potes,205.0,205.0,255.0,erp,gondola,205,285,513,275398.26,742
156.012.001,4155,Pote Alto com Travas,43,POTES,COZINHA,Linha Potes,220.0,140.0,120.0,erp,gondola,140,285,270,275049.01,942
4030.012.003,3611,Porta Farofa com Tampa,81,COZINHA,COZINHA,Linha Cozinha,129.0,79.0,159.0,erp,gondola,79,285,270,269314.02,1509
134.012.002,438,Lixeira Basculante Rattan,97,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,190.0,160.0,300.0,erp,gondola,160,285,513,266784.28,707
150.004.003,3285,Lixeira com Pedal,100,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,295.0,298.0,364.0,erp,gondola,295,372,513,265669.61,530
3770.012.001,4093,Pote Quadrado com Travas,44,POTES,COZINHA,Linha Potes,185.0,200.0,88.0,erp,gondola,185,285,270,264644.58,723
397.004.003,9712,Lixeira Flat com Pedal,99,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,260.0,256.0,320.0,erp,gondola,256,285,513,260713.43,438
166.024.001,171,Porta Biscoitos e Torradas,54,POTES,COZINHA,Linha Potes,231.0,91.0,89.0,erp,gondola,91,285,270,255181.65,746
146.024.001,181,Forma de Ovos e Omeleteira Micro-ondas,86,MICRO-ONDAS,COZINHA,Linha Micro-ondas,180.0,150.0,60.0,erp,gondola,150,285,270,253547.82,644
103.024.003,6585,Com Bandeja,57,POTES,COZINHA,Linha Potes,205.0,125.0,60.0,erp,gondola,125,285,270,250322.05,499
030.012.001,4084,Pote Monterey com 3 Divisórias,59,POTES,COZINHA,Linha Potes,212.0,212.0,55.0,erp,gondola,212,285,270,250297.93,459
060.012.002,6574,Porta Talher Paris com 4 Divisórias e Tampa,76,COZINHA,COZINHA,Linha Cozinha,325.0,210.0,50.0,erp,gondola,210,372,270,250288.25,1026
105.024.003,6711,Marmita Bom Apetite Com Bandeija E Valvula - Preto 800Ml,58,POTES,COZINHA,Linha Potes,170.0,127.0,70.0,erp,gondola,127,285,270,248640.09,414
362.012.003,151,Pote Acucar Acoplado Com Rosca - 2L,48,POTES,COZINHA,Linha Potes,140.0,140.0,179.0,erp,gondola,140,285,270,248403.06,1001
055.012.003,6256,Escorredor Multiuso,83,COZINHA,COZINHA,Linha Cozinha,260.0,215.0,190.0,erp,gondola,215,285,270,248395.68,579
254.006.003,1766,Modular Rattan,7,ORGANIZACAO,ORGANIZACAO,Linha Organização,328.0,265.0,145.0,erp,gondola,265,372,270,248265.19,285
363.012.003,153,Pote Cafe Acoplado Com Rosca - 2L,48,POTES,COZINHA,Linha Potes,140.0,140.0,179.0,erp,gondola,140,285,270,247062.72,710
034.012.001,4087,Pote Mônaco com 3 Divisórias,59,POTES,COZINHA,Linha Potes,245.0,190.0,50.0,erp,gondola,190,285,270,244281.34,712
435.012.002,8033,Hamburgueira,93,DECOR,COZINHA,Decor-Chef,,,,sem cota,sem cota,,,,243283.45,755
237.006.002,6638,Pote Acoplado com Copo Medidor,49,POTES,COZINHA,Linha Potes,205.0,205.0,255.0,erp,gondola,205,285,513,240463.15,612
008.012.003,6544,Porta Sabão em Pó,103,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,207.0,105.0,250.0,erp,gondola,105,285,513,238697.68,508
234.012.001,4057,Pote Raso com Travas,42,POTES,COZINHA,Linha Potes,260.0,180.0,80.0,erp,gondola,180,285,270,236917.52,688
258.006.003,1874,Cesto Alongado Juta,8,ORGANIZACAO,ORGANIZACAO,Linha Organização,345.0,165.0,145.0,erp,gondola,165,372,270,234846.07,484
003.006.003,283,Gaveteiro Com 3 Gavetas - Preta (004/3P),14,ORGANIZACAO,ORGANIZACAO,Linha Organização,210.0,180.0,173.0,erp,gondola,180,285,270,232957.21,499
195.006.012,7098,Frasqueira Cristal com Divisórias,30,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,202.0,115.0,110.0,erp,gondola,115,285,270,231879.79,589
243.024.001,109,"Pote Raso Com Valvula - 1,9L (243)",55,POTES,COZINHA,Linha Potes,305.0,185.0,59.0,erp,gondola,185,372,270,231692.59,490
051.012.003,3301,Porta Detergente 3 Em 1 - Preto (051/P),75,COZINHA,COZINHA,Linha Cozinha,120.0,280.0,65.0,erp,gondola,120,285,270,230461.39,1296
217.012.003,6674,Pote Ultraforte com Travas,52,POTES,COZINHA,Linha Potes,350.0,240.0,128.0,erp,gondola,240,372,270,230051.12,513
155.012.001,4150,Pote Alto com Travas,43,POTES,COZINHA,Linha Potes,170.0,110.0,90.0,erp,gondola,110,285,270,227906.2,945
257.012.003,1880,Cesto Alongado Juta,8,ORGANIZACAO,ORGANIZACAO,Linha Organização,275.0,132.0,116.0,erp,gondola,132,285,270,227096.15,578
100.006.002,3316,Lixeira com Pedal,100,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,280.0,230.0,272.0,erp,gondola,230,285,513,217844.17,668
284.012.003,3392,Cesto Transporta Tudo,104,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,313.0,263.0,182.0,catalogo,gondola,263,372,270,215018.36,355
151.012.001,4122,Pote Alto com Travas,43,POTES,COZINHA,Linha Potes,260.0,180.0,140.0,erp,gondola,180,285,270,213603.16,544
242.024.001,108,Pote Raso com Válvula,55,POTES,COZINHA,Linha Potes,250.0,150.0,50.0,erp,gondola,150,285,270,213170.68,563
216.012.003,6683,Pote Ultraforte com Travas,52,POTES,COZINHA,Linha Potes,300.0,200.0,105.0,erp,gondola,200,372,270,212734.84,606
256.024.003,1885,Cesto Alongado Juta,8,ORGANIZACAO,ORGANIZACAO,Linha Organização,206.0,99.0,87.0,erp,gondola,99,285,270,208536.31,538
117.012.002,22,Tábua Extra Grande,80,COZINHA,COZINHA,Linha Cozinha,390.0,245.0,5.0,erp,gondola,245,500,270,205478.07,219
079.012.002,3306,Prateleira Madri,109,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,170.0,92.0,396.0,erp,gondola,92,285,513,205126.37,903
2540.012.001,121,Kit Potes Altos com 3 pçs,61,POTES,COZINHA,Linha Potes,360.0,210.0,101.0,erp,gondola,210,372,270,203640.25,112
313.006.560,4432,Organizador De Cosmeticos Com 2 Gavetas - Preta,14,ORGANIZACAO,ORGANIZACAO,Linha Organização,203.0,185.0,210.0,erp,gondola,185,285,270,201370.79,235
044.012.005,201,Porta Leite de Saquinho,79,COZINHA,COZINHA,Linha Cozinha,160.0,120.0,150.0,erp,gondola,120,285,270,201220.37,800
065.012.003,323,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,205.0,154.0,90.0,erp,gondola,154,285,270,200308.95,485
221.012.003,6291,Saleiro Premier com Alça,81,COZINHA,COZINHA,Linha Cozinha,155.0,110.0,132.0,erp,gondola,110,285,270,200087.68,632
387.006.M00,8626,Tábua de Corte Teca G,33,TECA,COZINHA,Teca Tábuas,400.0,265.0,18.0,erp,gondola,265,500,270,197675.91,39
293.006.003,11942,Kit Potes Acoplados com 5 Peças,49,POTES,COZINHA,Linha Potes,,,,sem cota,sem cota,,,,197333.08,405
097.012.001,243,Nitronbox 10L (097),17,ORGANIZACAO,ORGANIZACAO,Linha Organização,410.0,293.0,136.0,erp,gondola,293,500,270,195516.18,249
008.012.002,6543,Porta Sabão em Pó com Dosador,103,LIMPEZA,BANHO E LAVANDERIA,Linha Limpeza,207.0,105.0,250.0,erp,gondola,105,285,513,194491.75,355
096.012.003,55,Escorredor de Pratos Rattan,71,COZINHA,COZINHA,Linha Cozinha,337.0,222.0,98.0,erp,gondola,222,372,270,191514.17,337
153.012.002,9615,Jarra com Tampa Flip Top,89,JARRAS,COZINHA,Linha Jarras,184.0,100.0,215.0,erp,gondola,100,285,270,191484.03,715
214.006.002,3417,Organizador Multiuso Rattan Com 6 Divisorias - Branco (214/B),7,ORGANIZACAO,ORGANIZACAO,Linha Organização,193.0,177.0,160.0,erp,gondola,177,285,270,190688.6,711
240.024.001,106,Cook Freezer Micro-ondas,86,MICRO-ONDAS,COZINHA,Linha Potes,237.0,237.0,102.0,erp,gondola,237,285,270,190420.59,280
130.012.003,6661,Lixeira Retrátil,101,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,189.0,158.0,275.0,erp,gondola,158,285,513,187630.49,718
2590.012.001,4081,Pote Alto Retangular,61,POTES,COZINHA,Linha Potes,250.0,150.0,72.0,erp,gondola,150,285,270,187616.03,671
111.012.549,4271,Espremedor Portátil Fit,90,JARRAS,COZINHA,Linha Jarras,103.0,95.0,167.0,erp,gondola,95,285,270,186127.74,615
053.004.003,434,4 Andares,13,ORGANIZACAO,ORGANIZACAO,Linha Organização,395.0,300.0,705.0,erp,gondola,300,500,,184193.96,334
232.012.001,4063,Pote Raso com Travas,42,POTES,COZINHA,Linha Potes,170.0,110.0,50.0,erp,gondola,110,285,270,183711.13,923
004.006.012,6542,Gaveteiro Com 4 Gavetas - Rosa,14,ORGANIZACAO,ORGANIZACAO,Linha Organização,210.0,180.0,225.0,erp,gondola,180,285,270,183630.34,121
023.030.002,4,Ralador com 4 Faces,78,COZINHA,COZINHA,Linha Cozinha,104.0,125.0,192.0,erp,gondola,104,285,270,182716.25,349
238.012.001,11906,Pote Acoplado Com Rosca - Transparente 2L,48,POTES,COZINHA,Linha Potes,140.0,140.0,179.0,erp,gondola,140,285,270,181397.0,538
200.004.001,276,Nitronbox 50L (200),16,ORGANIZACAO,ORGANIZACAO,Linha Organização,575.0,395.0,315.0,erp,fora de gondola,395,,513,181069.11,186
3760.012.001,125,Pote Quadrado com Travas,44,POTES,COZINHA,Linha Potes,250.0,240.0,110.0,erp,gondola,240,285,270,179756.96,406
258.006.002,1873,Cesto Alongado Juta,8,ORGANIZACAO,ORGANIZACAO,Linha Organização,345.0,165.0,145.0,erp,gondola,165,372,270,178082.73,403
196.006.001,4072,Pote Premium,54,POTES,COZINHA,Linha Potes,390.0,260.0,120.0,erp,gondola,260,500,270,174950.53,464
133.012.002,60,Porta Detergente Rattan com Base,71,COZINHA,COZINHA,Linha Cozinha,197.0,105.0,70.0,erp,gondola,105,285,270,174333.14,835
148.004.003,6662,Lixeira Basculante,101,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,292.0,240.0,430.0,erp,gondola,240,372,513,174129.59,365
163.004.086,11871,Lixeira Vime,100,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,270.0,232.0,320.0,erp,gondola,232,285,513,173982.25,432
046.012.002,6324,Porta Óleo Itália,78,COZINHA,COZINHA,Linha Cozinha,120.0,88.0,162.0,erp,gondola,88,285,270,173136.58,1038
268.012.003,1909,Cesto Europa Juta,9,ORGANIZACAO,ORGANIZACAO,Linha Organização,270.0,202.0,150.0,erp,gondola,202,285,270,170760.01,257
257.012.002,1879,Cesto Alongado Juta,8,ORGANIZACAO,ORGANIZACAO,Linha Organização,275.0,132.0,116.0,erp,gondola,132,285,270,165738.06,446
503.006.001,8864,Caixa Organizadora Flat com Tampa,10,ORGANIZACAO,ORGANIZACAO,Linha Organização,350.0,259.0,139.0,erp,gondola,259,372,270,165707.81,305
2570.012.001,122,Pote Alto Retangular,61,POTES,COZINHA,Linha Potes,360.0,210.0,100.0,erp,gondola,210,372,270,164887.93,456
818.012.001,12016,"Pote Alto Com Valvula - Transparente 2,9L",55,POTES,COZINHA,Linha Potes,310.0,190.0,90.0,erp,gondola,190,372,270,163976.89,384
116.012.003,3319,Porta Detergente Com Telinha - Preto (116/P),75,COZINHA,COZINHA,Linha Cozinha,230.0,105.0,65.0,erp,gondola,105,285,270,162300.53,897
182.012.546,4287,Jarra com Tampa Flip Top,89,JARRAS,COZINHA,Linha Jarras,230.0,124.0,267.0,erp,gondola,124,285,513,161891.71,353
261.006.003,1854,Caixa Organizadora Baixa Rattan com Tampa,6,ORGANIZACAO,ORGANIZACAO,Linha Organização,385.0,280.0,83.0,erp,gondola,280,500,270,160286.75,167
819.012.001,12018,"Pote Alto Com Valvula - Transparente 4,6L",55,POTES,COZINHA,Linha Potes,360.0,210.0,70.0,erp,gondola,210,372,270,159834.31,302
142.006.009,11865,"Medicamentos 6,2L",30,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,280.0,198.0,188.0,erp,gondola,198,285,270,159567.71,251
3780.012.001,4096,Pote Quadrado com Travas,44,POTES,COZINHA,Linha Potes,145.0,155.0,73.0,erp,gondola,145,285,270,158558.64,806
126.006.619,6395,Frasqueira com Bandeja,31,FRASQUEIRAS,FRASQUEIRAS E INFANTIL,Linha Frasqueiras,280.0,198.0,188.0,erp,gondola,198,285,270,158172.45,473
065.012.002,319,Rattan com Tampa,5,ORGANIZACAO,ORGANIZACAO,Linha Organização,205.0,155.0,93.0,erp,gondola,155,285,270,157591.03,399
283.004.086,11941,Lixeira Juta com Pedal,98,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,345.0,175.0,325.0,erp,gondola,175,372,513,157024.27,264
178.024.001,183,Caçarola Micro-ondas,85,MICRO-ONDAS,COZINHA,Linha Micro-ondas,205.0,175.0,100.0,erp,gondola,175,285,270,156472.99,440
445.012.001,8100,Cosméticos e Bijou,14,ORGANIZACAO,ORGANIZACAO,Linha Organização,210.0,130.0,80.0,erp,gondola,130,285,270,154856.53,286
078.036.001,203,Forma De Gelo Firenze (078),91,JARRAS,COZINHA,Linha Cozinha,283.0,107.0,38.0,erp,gondola,107,285,270,153793.64,552
397.004.002,9711,Lixeira Flat com Pedal,99,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,260.0,256.0,320.0,erp,gondola,256,285,513,150237.85,298
165.006.003,3328,Escorredor de Pratos,74,COZINHA,COZINHA,Linha Cozinha,355.0,490.0,111.0,erp,gondola,355,500,270,149730.62,459
503.006.003,8609,Caixa Organizadora Flat com Tampa,10,ORGANIZACAO,ORGANIZACAO,Linha Organização,350.0,259.0,139.0,erp,gondola,259,372,270,147690.73,220
3820.016.644,129,Kit Pote Café e Açúcar,53,POTES,COZINHA,Linha Potes,156.0,156.0,127.0,erp,gondola,156,285,270,146163.07,546
067.012.003,6271,Saleiro Premier com Alça,81,COZINHA,COZINHA,Linha Cozinha,160.0,110.0,120.0,erp,gondola,110,285,270,145218.67,794
134.012.086,11863,Lixeira Basculante Rattan,97,LIXEIRAS,BANHO E LAVANDERIA,Linha Lixeiras,190.0,160.0,300.0,erp,gondola,160,285,513,144700.48,313
070.006.003,5899,Escorredor Luxo,82,COZINHA,COZINHA,Linha Cozinha,348.0,278.0,145.0,erp,gondola,278,372,270,144426.93,847
011.036.001,226,Organiza Tudo com Divisórias Móveis,15,ORGANIZACAO,ORGANIZACAO,Linha Organização,135.0,95.0,32.0,erp,gondola,95,285,270,144071.01,577
050.012.001,4106,Pote Premier com 4 Divisórias,59,POTES,COZINHA,Linha Potes,225.0,225.0,50.0,erp,gondola,225,285,270,144018.86,497
114.012.547,4275,Espremedor Portátil Fit,90,JARRAS,COZINHA,Linha Jarras,160.0,132.0,110.0,erp,gondola,132,285,270,143892.79,641
545.012.003,9876,Porta Detergente e Esponja Flat,73,COZINHA,COZINHA,Linha Cozinha,205.0,87.0,60.0,erp,gondola,87,285,270,143479.86,684
092.012.002,6580,Parede com Ventosa,108,BANHEIRO,BANHO E LAVANDERIA,Linha Banheiro,136.0,95.0,75.0,erp,gondola,95,285,270,143220.46,579
360.012.003,154,Pote Feijao Acoplado Com Rosca - 2L,48,POTES,COZINHA,Linha Potes,140.0,140.0,179.0,erp,gondola,140,285,270,142422.77,540
