referencia,pagina,categoria_catalogo,nome_catalogo,com_cm,lar_cm,alt_cm,litragem
172.012.998,105,LIMPEZA,Pá de Lixo com Cabo,24.6,18,66.6,
172.012.999,105,LIMPEZA,Pá de Lixo com Cabo,24.6,18,66.6,
173.012.002,101,LIXEIRAS,Lixeira Fênix,,,,"4,2L"
173.012.003,101,LIXEIRAS,Lixeira Fênix,,,,"4,2L"
176.024.001,56,POTES,Marmita Due c/ Div Móvel,,,,600ml
177.012.002,18,ORGANIZACAO,Cestinho com Alça,,,,5L
177.012.003,18,ORGANIZACAO,Cestinho com Alça,,,,5L
178.024.001,85,MICRO-ONDAS,Caçarola Micro-ondas,,,,850ml
179.024.001,77,COZINHA,Porta Frios com Pinça,26.2,17.5,5.3,"1,1L"
182.012.002,89,JARRAS,Jarra com Tampa Flip Top,,,,4L
182.012.546,89,JARRAS,Jarra com Tampa Flip Top,,,,4L
184.010.003,12,ORGANIZACAO,10 Peças - Preto,28.1,7,15.2,
184.016.001,12,ORGANIZACAO,Transparente,28.1,2.1,15.2,
185.012.002,105,LIMPEZA,Porta Vassouras com 9 posições,34,5,5,
185.012.003,105,LIMPEZA,Porta Vassouras com 9 posições,34,5,5,
186.006.002,30,FRASQUEIRAS,Mega Luxo,37,25,22,12L
186.006.009,30,FRASQUEIRAS,Mega Luxo,37,25,22,12L
187.006.001,15,ORGANIZACAO,Organiza Tudo com Divisórias Móveis,36,,,
188.012.002,74,COZINHA,Super Prático,36,26.5,10.5,
188.012.003,74,COZINHA,Super Prático,36,26.5,10.5,
188.012.086,74,COZINHA,Super Prático,36,26.5,10.5,
190.012.001,43,POTES,Pote Alto com Travas,,,,
190.012.003,43,POTES,Pote Alto com Travas,,,,
191.012.001,59,POTES,Pote com 2 Divisórias,,,,720ml
191.012.003,59,POTES,Pote com 2 Divisórias,,,,720ml
193.024.001,108,BANHEIRO,Saboneteira com Telinha,10.8,7.8,4.2,
193.024.066,108,BANHEIRO,Saboneteira com Telinha,10.8,7.8,4.2,
194.012.009,85,MICRO-ONDAS,Micro-ondas com Cesto,,,,"2,6L"
195.006.012,30,FRASQUEIRAS,Frasqueira Cristal com Divisórias,20.2,11.5,11,"1,5L"
195.006.609,30,FRASQUEIRAS,Frasqueira Cristal com Divisórias,20.2,11.5,11,"1,5L"
196.006.001,54,POTES,Pote Premium,39,26,12,"7,9L"
197.024.010,56,POTES,Pote com Travas e 2 Div.,,,,600ml
198.012.001,13,ORGANIZACAO,Estojo Super Prático,20,6.4,4,
198.012.066,13,ORGANIZACAO,Estojo Super Prático,20,6.4,4,
199.006.001,16,ORGANIZACAO,,57.5,39.5,17,27L
200.004.001,16,ORGANIZACAO,,57.5,39.5,31.5,50L
202.006.001,31,FRASQUEIRAS,Frasqueira Oval com Bandeja,27,17.7,18,"4,4L"
202.006.002,29,FRASQUEIRAS,"Oval com Bandeja 4,4L",27,17.7,18,"4,4L"
202.006.009,29,FRASQUEIRAS,"Oval com Bandeja 4,4L",27,17.7,18,"4,4L"
202.006.012,31,FRASQUEIRAS,Frasqueira Oval com Bandeja,27,17.7,18,"4,4L"
203.006.003,52,POTES,Pote Ultraforte com Travas,30,20,10.5,4L
205.006.861,63,POTES,com 2 Peças,11.8,9.5,11.4,450ml
205.006.862,62,POTES,com 3 Peças,11.8,9.5,17.1,450ml
205.006.P01,65,POP,Kit POP - 6 Potes Fits,15.6,7.8,20.7,450ml
205.012.001,53,POTES,Pote Retangular Fit,11.9,9.5,5.6,450ml
205.012.003,53,POTES,Pote Retangular Fit,11.9,9.5,5.6,450ml
207.012.002,91,JARRAS,Jarra Medidora Top Mix,,,,850ml
207.012.547,91,JARRAS,Jarra Medidora Top Mix,,,,850ml
207.024.001,91,JARRAS,Jarra Medidora Top Mix,,,,850ml
209.012.003,58,POTES,Marmita c/ Porta Talheres,,,,715ml
211.012.002,109,BANHEIRO,banheiro Smart,26.7,17,30,
211.012.003,109,BANHEIRO,banheiro Smart,26.7,17,30,
212.012.003,56,POTES,Pote com Travas e 2 Div.,,,,600ml
214.006.002,7,ORGANIZACAO,com 6 Divisórias,19.3,16,17.8,
214.006.003,7,ORGANIZACAO,com 6 Divisórias,19.3,16,17.8,
214.006.086,7,ORGANIZACAO,com 6 Divisórias,19.3,16,17.8,
215.012.003,52,POTES,Pote Ultraforte com Travas,25,16.5,8.7,"2,1L"
216.012.003,52,POTES,Pote Ultraforte com Travas,30,20,10.5,4L
217.012.003,52,POTES,Pote Ultraforte com Travas,35,24,12.8,"6,9L"
219.006.563,31,FRASQUEIRAS,Frasqueira Rattan,32.7,23,21,"9,4L"
221.012.002,81,COZINHA,Saleiro Premier com Alça,15.5,11,13.2,
221.012.003,81,COZINHA,Saleiro Premier com Alça,15.5,11,13.2,
222.012.002,89,JARRAS,Jarra com Tampa Flip Top,,,,1.4L
222.012.546,89,JARRAS,Jarra com Tampa Flip Top,,,,1.4L
2231.024.009,77,COZINHA,Porta Frios com Tela,24.5,18,5,"1,4L"
2232.012.009,77,COZINHA,com 3 Peças,24.5,18,9,"2,8L"
224.012.002,74,COZINHA,Porta Talher Escorre e Guarda,18.5,9.5,24,
224.012.003,74,COZINHA,Porta Talher Escorre e Guarda,18.5,9.5,24,
224.012.086,74,COZINHA,Porta Talher Escorre e Guarda,18.5,9.5,24,
227.036.998,67,INFANTIL,Copo Infantil com Alça - Sortido,,,,
227.036.999,67,INFANTIL,Copo Infantil com Alça - Sortido,,,,
2270.012.001,45,POTES,Pote Redondo com Travas,22.5,20.5,10,"2,3L"
2270.012.003,45,POTES,Pote Redondo com Travas,22.5,20.5,10,"2,3L"
228.012.003,58,POTES,Pote c/ Travas Laterais,,,,"1,1L"
2280.012.001,45,POTES,Pote Redondo com Travas,17.5,16.5,8,"1,1L"
2280.012.003,45,POTES,Pote Redondo com Travas,17.5,16.5,8,"1,1L"
229.012.001,86,MICRO-ONDAS,Cook Freezer com Cesto,,,,3L
2290.006.862,62,POTES,Coloratto com 3 Peças,13.5,12.5,18,450ml
2290.012.001,45,POTES,Pote Redondo com Travas,13.5,12.5,6,450ml
2290.012.003,45,POTES,Pote Redondo com Travas,13.5,12.5,6,450ml
231.006.861,63,POTES,,,,,
231.006.862,62,POTES,,,,,
231.006.P01,64,POP,Kit POP - 6 Potes com Travas,18.4,10,31,270ml
231.012.001,42,POTES,Pote Raso com Travas,14,10,4,270ml
231.012.003,42,POTES,Pote Raso com Travas,14,10,4,270ml
232.006.861,63,POTES,,,,,
232.006.862,62,POTES,,,,,
232.012.001,42,POTES,Pote Raso com Travas,17,11,5,500ml
232.012.003,42,POTES,Pote Raso com Travas,17,11,5,500ml
233.012.001,42,POTES,Pote Raso com Travas,22,14,7,"1,1L"
233.012.003,42,POTES,Pote Raso com Travas,22,14,7,"1,1L"
234.012.001,42,POTES,Pote Raso com Travas,26,18,8,"2,3L"
234.012.003,42,POTES,Pote Raso com Travas,26,18,8,"2,3L"
235.012.001,46,POTES,com Rosca,,,,
235.012.002,46,POTES,com Rosca,,,,
235.012.003,46,POTES,com Rosca,,,,
235.012.671,46,POTES,com Rosca,,,,500ml
236.012.001,47,POTES,,,,,
236.012.002,47,POTES,,,,,
236.012.003,47,POTES,,,,,
236.012.667,47,POTES,,,,,
236.012.668,47,POTES,,,,,
236.012.669,47,POTES,,,,,
236.012.670,47,POTES,,,,,
236.012.671,47,POTES,,,,,
236.012.672,47,POTES,,,,,
237.006.002,49,POTES,Pote Acoplado com Copo Medidor,,,,150ml
237.006.003,49,POTES,Pote Acoplado com Copo Medidor,,,,150ml
238.012.001,48,POTES,,,,,
238.012.002,48,POTES,,,,,
238.012.003,48,POTES,,,,,
239.012.001,48,POTES,,,,,3L
239.012.002,48,POTES,,,,,
239.012.003,48,POTES,,,,,
240.024.001,86,MICRO-ONDAS,Cook Freezer Micro-ondas,,,,3L
241.006.P01,65,POP,Kit POP - 6 Potes com Válvula,,,,460ml
241.024.001,55,POTES,Pote Raso com Válvula,19.8,11.7,4,460ml
242.024.001,55,POTES,Pote Raso com Válvula,25,15,5,950ml
243.024.001,55,POTES,ao micro-ondas,30.5,18.5,5.9,"1,9L"
244.012.001,55,POTES,ao micro-ondas,36,21,7.2,"3,2L"
246.024.001,55,POTES,Pote Alto com Válvula,20,12,7,868ml
248.012.009,46,POTES,,,,,
249.012.020,46,POTES,com Rosca,,,,
250.024.009,85,MICRO-ONDAS,com Cesto,,,,"1,5L"
2500.012.001,61,POTES,Pote Alto Retangular,20,12,6.5,868ml
2500.012.003,61,POTES,Pote Alto Retangular,20,12,6.5,868ml
251.012.001,85,MICRO-ONDAS,Caçarola Mini Micro-ondas,,,,850ml
254.006.001,7,ORGANIZACAO,Modular Rattan,32.8,26.5,14.5,"8,2L"
254.006.002,7,ORGANIZACAO,Modular Rattan,32.8,26.5,14.5,"8,2L"
254.006.003,7,ORGANIZACAO,Modular Rattan,32.8,26.5,14.5,"8,2L"
2540.012.001,61,POTES,Kit Potes Altos com 3 pçs,36,21,10.1,"4,6L"
2540.012.003,61,POTES,Kit Potes Altos com 3 pçs,36,21,10.1,"4,6L"
255.036.016,91,JARRAS,Firenze com Tampa,,,,2L
256.006.M02,38,TECA,Caixa Juta Alongada com Tampa Teca,21,10.2,9.4,"1,5L"
256.006.M03,38,TECA,Caixa Juta Alongada com Tampa Teca,21,10.2,9.4,"1,5L"
256.024.002,8,ORGANIZACAO,Cesto Alongado Juta,20.6,9.9,8.7,"1,5L"
256.024.003,8,ORGANIZACAO,Cesto Alongado Juta,20.6,9.9,8.7,"1,5L"
256.024.086,8,ORGANIZACAO,Cesto Alongado Juta,20.6,9.9,8.7,"1,5L"
257.006.M02,38,TECA,Caixa Juta Alongada com Tampa Teca,28.4,13.3,12.5,
257.006.M03,38,TECA,Caixa Juta Alongada com Tampa Teca,28.4,13.3,12.5,"3,7L"
257.012.002,8,ORGANIZACAO,Cesto Alongado Juta,27.5,13.2,11.6,"3,7L"
257.012.003,8,ORGANIZACAO,Cesto Alongado Juta,27.5,13.2,11.6,"3,7L"
257.012.086,8,ORGANIZACAO,Cesto Alongado Juta,27.5,13.2,11.6,"3,7L"
2570.012.001,61,POTES,Pote Alto Retangular,36,21,10,"4,6L"
2570.012.003,61,POTES,Pote Alto Retangular,36,21,10,"4,6L"
258.004.M02,38,TECA,Caixa Juta Alongada com Tampa Teca,34.5,16.5,15,"7,4L"
258.004.M03,38,TECA,Caixa Juta Alongada com Tampa Teca,34.5,16.5,15,"7,4L"
258.006.002,8,ORGANIZACAO,Cesto Alongado Juta,34.5,16.5,14.5,"7,4L"
