modulo_id,modulo,prateleira,altura_face_mm,zona,profundidade_mm,faces,metros_lineares,ambiente
22,Ponta 3,2,362,chao,372,1,0.89,ORGANIZACAO
22,Ponta 3,3,624,chao,372,1,0.89,ORGANIZACAO
22,Ponta 3,4,886,maos,372,1,0.89,ORGANIZACAO
22,Ponta 3,5,1148,maos,372,1,0.89,ORGANIZACAO
22,Ponta 3,6,1409,olhos,372,1,0.89,ORGANIZACAO
23,Ponta 4,1,100,chao,372,1,0.89,ORGANIZACAO
23,Ponta 4,2,362,chao,372,1,0.89,ORGANIZACAO
23,Ponta 4,3,624,chao,372,1,0.89,ORGANIZACAO
23,Ponta 4,4,886,maos,372,1,0.89,ORGANIZACAO
23,Ponta 4,5,1148,maos,372,1,0.89,ORGANIZACAO
23,Ponta 4,6,1409,olhos,372,1,0.89,ORGANIZACAO
40,Ilha 1,1,100,chao,500,2,3.73,COZINHA
40,Ilha 1,2,362,chao,500,2,3.73,COZINHA
40,Ilha 1,3,624,chao,500,2,3.73,COZINHA
40,Ilha 1,4,886,maos,500,2,3.73,COZINHA
41,Ilha 2,1,100,chao,500,2,3.73,ORGANIZACAO
41,Ilha 2,2,362,chao,500,2,3.73,ORGANIZACAO
41,Ilha 2,3,624,chao,500,2,3.73,ORGANIZACAO
41,Ilha 2,4,886,maos,500,2,3.73,ORGANIZACAO
50,Corredor de checkout A,1,100,chao,372,2,3.52,IMPULSO
50,Corredor de checkout A,2,362,chao,372,2,3.52,IMPULSO
50,Corredor de checkout A,3,624,chao,372,2,3.52,IMPULSO
50,Corredor de checkout A,4,886,maos,372,2,3.52,IMPULSO
51,Corredor de checkout B,1,100,chao,372,2,3.52,IMPULSO
51,Corredor de checkout B,2,362,chao,372,2,3.52,IMPULSO
51,Corredor de checkout B,3,624,chao,372,2,3.52,IMPULSO
51,Corredor de checkout B,4,886,maos,372,2,3.52,IMPULSO
30,Modulo caixa-pilar,1,100,chao,372,1,0.46,IMPULSO
30,Modulo caixa-pilar,2,362,chao,372,1,0.46,IMPULSO
30,Modulo caixa-pilar,3,624,chao,372,1,0.46,IMPULSO
30,Modulo caixa-pilar,4,886,maos,372,1,0.46,IMPULSO
31,Torre de servico,1,100,chao,285,1,0.36,IMPULSO
31,Torre de servico,2,362,chao,285,1,0.36,IMPULSO
31,Torre de servico,3,624,chao,285,1,0.36,IMPULSO
31,Torre de servico,4,886,maos,285,1,0.36,IMPULSO
31,Torre de servico,5,1148,maos,285,1,0.36,IMPULSO
