referencia;codprod;descrprod;nomegrupo;peso_bruto;peso_liquido;unidade_medida;qtd_por_embalagem
078.036.001;203;FORMA DE GELO FIRENZE (078);Linha Cozinha;0.079833;0.079;PC;36
397.004.002;9711;LIXEIRA FLAT COM PEDAL - BRANCA 14L;Linha Lixeiras;0.3825;0.375;PC;4
165.006.003;3328;ESCORREDOR DE PRATOS - PRETO (165/P);Linha Cozinha;0.515;0.51;PC;6
503.006.003;8609;CAIXA ORGANIZADORA FLAT COM TAMPA - PRETA 10,35L;Linha Organização;0.401;0.396;PC;6
3820.016.644;129;KIT POTE CAFE E ACUCAR (038/2);Linha Potes;0.194875;0.193;CJ;16
067.012.003;6271;SALEIRO - TRANSPARENTE E PRETO;Linha Cozinha;0.0825;0.08;PC;12
134.012.086;11863;LIXEIRA BASCULANTE RATTAN - CHUMBO 4,5L;Linha Lixeiras;0.2385;0.236;PC;12
070.006.003;5899;ESCORREDOR LUXO - PRETO;Linha Cozinha;0.245;0.24;PC;6
011.036.001;226;ORGANIZA TUDO COM 7 DIVISORIAS (011);Linha Organização;0.059833;0.059;PC;36
050.012.001;4106;POTE PREMIER COM 4 DIVISORIAS - TRANSPARENTE 1,1L;Linha Potes;0.1325;0.13;PC;12
114.012.547;4275;JARRINHA COM ESPREMEDOR - VERMELHO 500ML;Linha Jarras;0.0725;0.07;PC;12
545.012.003;9876;PORTA DETERGENTE E ESPONJA FLAT - PRETO;Linha Cozinha;0.0615;0.059;PC;12
092.012.002;6580;SABONETEIRA DE PAREDE COM VENTOSA - BRANCO;Linha Banheiro;0.0625;0.06;PC;12
360.012.003;154;POTE FEIJAO ACOPLADO COM ROSCA - 2L;Linha Potes;0.1165;0.114;PC;12
032.012.002;9608;JARRA COM TAMPA - BRANCO 2L;Linha Jarras;0.1425;0.14;PC;12
169.012.003;6612;BOLEIRA BARCELONA COM ALCA - PRETO;Linha Cozinha;0.2225;0.22;PC;12
002.036.002;38;TABUA POPULAR - BRANCA (018/B);Linha Cozinha;0.234833;0.234;PC;36
150.004.002;3276;LIXEIRA COM PEDAL - BRANCA 16L (150/B);Linha Lixeiras;0.6975;0.69;PC;4
147.012.604;6397;FRASQUEIRA MINI - NATURAL 1L;Linha Frasqueiras;0.0925;0.09;PC;12
284.012.002;3391;CESTO TRANSPORTA TUDO - BRANCO (284/B);Linha Limpeza;0.3025;0.3;PC;12
501.012.003;8605;CAIXA ORGANIZADORA FLAT COM TAMPA - PRETA 2,35L;Linha Organização;0.1515;0.149;PC;12
449.006.003;7110;LIXEIRA JUTA COM PEDAL - PRETA 6L;Linha Lixeiras;0.755;0.75;PC;6
2231.024.009;223;PORTA FRIOS UNITARIO COM TELA (223/1);Linha Cozinha;0.14525;0.144;PC;24
003.006.002;282;GAVETEIRO COM 3 GAVETAS - BRANCA (004/3B);Linha Organização;0.463;0.458;CJ;6
033.012.547;4230;JARRA COM ESPREMEDOR - VERMELHO 2L;Linha Jarras;0.1525;0.15;PC;12
186.006.009;11874;FRASQUEIRA MEDICAMENTOS MEGA LUXO - VERMELHA 12L;Linha Frasqueiras;0.883;0.878;PC;6
043.012.009;6572;FRASQUEIRA MEDICAMENTOS - VERMELHA 1,4L;Linha Frasqueiras;0.1225;0.12;PC;12
016.012.003;3297;ESCORREDOR DE TALHERES MAX - PRETO (016/P);Linha Cozinha;0.0825;0.08;PC;12
502.012.001;8863;CAIXA ORGANIZADORA FLAT COM TAMPA - TRANSPARENTE 3,75L;Linha Organização;0.2095;0.207;PC;12
140.012.001;6284;ESTOJO MULTI USO - TRANSPARENTE;Linha Organização;0.0725;0.07;PC;12
359.012.003;152;POTE ARROZ ACOPLADO COM ROSCA - 2L;Linha Potes;0.1165;0.114;PC;12
198.012.001;6286;ESTOJO SUPER PRATICO - TRANSPARENTE;Linha Organização;0.0425;0.04;PC;12
110.006.001;248;NITRONBOX 20L (110);Linha Organização;0.743;0.738;PC;6
261.006.002;1855;CAIXA ORGANIZADORA BAIXA RATTAN COM TAMPA - BRANCA 7L (261/B);Linha Organização;0.375;0.37;PC;6
070.006.002;5898;ESCORREDOR LUXO - BRANCO;Linha Cozinha;0.245;0.24;PC;6
503.006.002;8608;CAIXA ORGANIZADORA FLAT COM TAMPA - BRANCA 10,35L;Linha Organização;0.401;0.396;PC;6
256.024.002;1884;CESTO ALONGADO JUTA - BRANCO1,5L (256/B);Linha Organização;0.55025;0.549;PC;24
194.012.009;185;CACAROLA LEGUMIX MICRO-ONDAS COM CESTO - TRANSPARENTE 2,6L (194);Linha Micro-ondas;0.2225;0.22;PC;12
306.006.520;4254;TRAVESSA OVAL CANELADA COM TAMPA - BRANCA 1,2L;Linha Potes;0.125;0.12;PC;6
224.012.002;3341;SECA TALHER ESCORRE - BRANCO (224/B);Linha Cozinha;0.1525;0.15;PC;12
109.012.001;247;NITRONBOX 6L (109);Linha Organização;0.3905;0.388;PC;12
219.006.563;4426;FRASQUEIRA RATTAN - ROSA 9,4L;Linha Frasqueiras;0.595;0.59;PC;6
202.006.002;11880;FRASQUEIRA MEDICAMENTOS OVAL COM BANDEJA - BRANCA 4,4L;Linha Frasqueiras;0.325;0.32;PC;6
270.006.003;1897;CESTO EUROPA JUTA - PRETO 18,7L (270/P);Linha Organização;0.695;0.69;PC;6
090.012.003;6659;SALEIRO RUBI - TRANSPARENTE E PRETO 1 KG;Linha Cozinha;0.0725;0.07;PC;12
056.012.002;6262;ESCORREDOR LUXO COM CABO - BRANCO;Linha Cozinha;0.1225;0.12;PC;12
258.004.M03;7951;CAIXA JUTA ALONGADA COM TAMPA TECA - PRETA 7,4L;Teca Organização;0.774;0.769;PC;4
4010.012.003;3604;ACUCAREIRO C/ TAMPA 836 ML (040/A);Linha Cozinha;0.0725;0.07;PC;12
053.004.002;3108;PRATELEIRA MULTI USO COM 4 ANDARES - BRANCA (053/B);Linha Organização;1.5975;1.59;PC;4
920.004.002;12022;CONJ. PORTA DETERGENTE FLAT COM 2 PECAS - BRANCO 500ML;Linha Cozinha;0.1175;0.11;CJ;4
817.012.001;12015;POTE ALTO COM VALVULA - TRANSPARENTE 1,5L;Linha Potes;;;PC;12
120.006.012;7099;FRASQUEIRA COM BANDEJA - ROSA 2,8L;Linha Frasqueiras;0.265;0.26;PC;6
317.012.001;4371;MARMITA FIT - 500ML (317.012.001);Linha Potes;0.1125;0.11;PC;12
2270.012.001;4032;POTE REDONDO COM TRAVAS - TRANSPARENTE 2,3L (022/7);Linha Potes;0.1325;0.13;PC;12
169.012.002;6611;BOLEIRA BARCELONA COM ALCA - BRANCA;Linha Cozinha;0.2225;0.22;PC;12
920.004.086;12024;CONJ. PORTA DETERGENTE FLAT COM 2 PECAS - CHUMBO 500ML;Linha Cozinha;0.1175;0.11;CJ;4
211.012.002;3270;CANTONEIRA PARA BANHEIRO SMART - BRANCO (211/B);Linha Banheiro;0.2225;0.22;PC;12
349.012.575;6094;PORTA QUEIJO COM TELA;Linha Potes;0.0825;0.08;PC;12
077.012.003;5901;ESCORREDOR IDEAL - PRETO;Linha Cozinha;0.0825;0.08;PC;12
182.012.002;9616;JARRA COM TAMPA FLIP TOP - BRANCO 4L;Linha Jarras;0.2525;0.25;PC;12
193.024.001;6762;SABONETEIRA COM TELINHA - TRANSPARENTE;Linha Banheiro;0.03125;0.03;PC;24
281.036.999;1933;CONCHA PARA CEREAIS - SORTIDO - 150ML (281);Linha Cozinha;0.017833;0.017;PC;36
164.006.001;265;MALETA ORGANIZA TUDO COM DIVISORIAS MOVEIS (164);Linha Organização;0.641;0.636;PC;6
553.012.003;9901;PORTA SABAO LIQUIDO FLAT - PRETO 500ML;Linha Limpeza;0.0575;0.055;PC;12
170.006.045;6719;CAIXA DE FERRAMENTAS NITRONFORT - AZUL 16L;Linha Organização;0.815;0.81;PC;6
128.012.003;6598;CESTINHO PARA PRENDEDOR - PRETO;Linha Limpeza;0.0925;0.09;PC;12
154.012.001;4147;POTE ALTO COM TRAVAS - TRANSPARENTE 460ML;Linha Potes;0.0525;0.05;PC;12
018.030.002;3;TABUA MULTIUSO GRANDE (018);Linha Cozinha;0.261;0.26;PC;30
028.012.003;5897;ESCORREDOR DE ARROZ TRADICIONAL - PRETO;Linha Cozinha;0.0925;0.09;PC;12
059.012.002;3303;ESCORREDOR DE PRATOS - BRANCO (059/B);Linha Cozinha;0.2725;0.27;PC;12
148.004.002;4351;LIXEIRA BASCULANTE - BRANCA 14L;Linha Lixeiras;0.4675;0.46;PC;4
323.006.001;4385;POTE MODULAR - TRANSPARENTE 2,4L;Linha Potes;0.205;0.2;PC;6
450.012.086;11994;LIXEIRA JUTA COM CLIQUE - CHUMBO 4,5L;Linha Lixeiras;0.7525;0.75;PC;12
229.012.001;186;COOK FREEZER MICRO-ONDAS COM CESTO - TRANSPARENTE 3L (229);Linha Micro-ondas;0.2475;0.245;PC;12
257.006.M03;7955;CAIXA JUTA ALONGADA COM TAMPA TECA - PRETA 3,7L;Teca Organização;0.414;0.409;PC;6
222.012.546;4292;JARRA COM TAMPA FLIP TOP - VERMELHO 1,4L;Linha Jarras;0.1225;0.12;PC;12
350.012.577;6095;PORTA FRIOS COM TELA;Linha Potes;0.0825;0.08;PC;12
